student_id,semestre,taux_presence,absences,retards
ETU1281,S2,64.9,18,1
ETU1282,S1,86.37,7,1
ETU1282,S2,70.03,15,3
ETU1283,S1,96.74,2,6
ETU1283,S2,83.44,8,5
ETU1284,S1,97.57,1,0
ETU1284,S2,69.37,15,1
ETU1285,S1,66.27,17,5
ETU1285,S2,92.9,4,1
ETU1286,S1,78.59,11,3
ETU1286,S2,93.8,3,3
ETU1287,S1,94.28,3,3
ETU1287,S2,89.14,5,3
ETU1288,S1,88.29,6,1
ETU1288,S2,69.58,15,3
ETU1289,S1,93.71,3,2
ETU1289,S2,98.74,1,4
ETU1290,S1,78.13,11,5
ETU1290,S2,94.58,3,3
ETU1291,S1,73.02,13,1
ETU1291,S2,75.58,12,2
ETU1292,S1,62.66,19,3
ETU1292,S2,77.62,11,3
ETU1293,S1,77.26,11,3
ETU1293,S2,80.67,10,2
ETU1294,S1,93.33,3,1
ETU1294,S2,79.09,10,2
ETU1295,S1,100.0,0,2
ETU1295,S2,78.44,11,1
ETU1296,S1,80.6,10,3
ETU1296,S2,74.37,13,7
ETU1297,S1,99.86,0,3
ETU1297,S2,79.67,10,3
ETU1298,S1,77.87,11,2
ETU1298,S2,69.16,15,0
ETU1299,S1,88.1,6,3
ETU1299,S2,83.97,8,1
ETU1300,S1,85.87,7,3
ETU1300,S2,79.72,10,2
ETU1301,S1,87.59,6,3
ETU1301,S2,100.0,0,6
ETU1302,S1,77.86,11,3
ETU1302,S2,84.03,8,3
ETU1303,S1,88.27,6,1
ETU1303,S2,86.64,7,0
ETU1304,S1,89.57,5,2
ETU1304,S2,68.34,16,3
ETU1305,S1,78.31,11,2
ETU1305,S2,76.65,12,2
ETU1306,S1,95.81,2,2
ETU1306,S2,88.9,6,1
ETU1307,S1,67.07,16,3
ETU1307,S2,93.78,3,2
ETU1308,S1,63.22,18,4
ETU1308,S2,79.74,10,3
ETU1309,S1,93.47,3,1
ETU1309,S2,68.16,16,2
ETU1310,S1,85.65,7,2
ETU1310,S2,59.6,20,1
ETU1311,S1,80.17,10,1
ETU1311,S2,66.67,17,1
ETU1312,S1,88.13,6,3
ETU1312,S2,71.39,14,0
ETU1313,S1,80.95,10,4
ETU1313,S2,90.88,5,3
ETU1314,S1,71.37,14,0
ETU1314,S2,99.25,0,0
ETU1315,S1,69.05,15,3
ETU1315,S2,78.8,11,5
ETU1316,S1,85.57,7,5
ETU1316,S2,81.98,9,7
ETU1317,S1,80.08,10,3
ETU1317,S2,81.03,9,1
ETU1318,S1,65.96,17,3
ETU1318,S2,93.85,3,3
ETU1319,S1,88.1,6,0
ETU1319,S2,81.74,9,1
ETU1320,S1,,3,4
ETU1320,S2,57.43,21,1
ETU1321,S1,92.83,4,1
ETU1321,S2,81.49,9,2
ETU1322,S1,71.21,14,2
ETU1322,S2,87.98,6,2
ETU1323,S1,77.01,11,3
ETU1323,S2,64.52,18,4
ETU1324,S1,80.01,10,2
ETU1324,S2,79.19,10,6
ETU1325,S1,81.47,9,3
ETU1325,S2,75.15,12,3
ETU1326,S1,93.49,3,1
ETU1326,S2,83.41,8,3
ETU1327,S1,83.02,8,4
ETU1327,S2,100.0,0,1
ETU1328,S1,61.99,19,2
ETU1328,S2,82.99,9,0
ETU1329,S1,93.31,3,3
ETU1329,S2,88.84,6,5
ETU1330,S1,90.16,5,0
ETU1330,S2,79.77,10,4
ETU1331,S1,67.21,16,5
ETU1331,S2,74.41,13,2
ETU1332,S1,74.83,13,2
ETU1332,S2,62.43,19,3
ETU1333,S1,100.0,0,1
ETU1333,S2,79.82,10,4
ETU1334,S1,74.5,13,2
ETU1334,S2,100.0,0,2
ETU1335,S1,89.84,5,5
ETU1335,S2,90.43,5,2
ETU1336,S1,90.73,5,3
ETU1336,S2,87.49,6,2
ETU1337,S1,80.3,10,0
ETU1337,S2,69.61,15,2
ETU1338,S1,85.55,7,3
ETU1338,S2,66.46,17,3
ETU1339,S1,85.27,7,2
ETU1339,S2,86.93,7,4
ETU1340,S1,94.66,3,2
ETU1340,S2,78.01,11,4
ETU1341,S1,100.0,0,3
ETU1341,S2,86.36,7,1
ETU1342,S1,55.99,22,0
ETU1342,S2,94.78,3,0
ETU1343,S1,80.85,10,2
ETU1343,S2,92.68,4,0
ETU1344,S1,93.74,3,5
ETU1344,S2,84.17,8,1
ETU1345,S1,90.6,5,0
ETU1345,S2,75.77,12,3
ETU1346,S1,87.29,6,1
ETU1346,S2,94.82,3,2
ETU1347,S1,91.93,4,1
ETU1347,S2,64.42,18,2
ETU1348,S1,95.15,2,1
ETU1348,S2,62.33,19,3
ETU1349,S1,96.1,2,1
ETU1349,S2,75.17,12,3
ETU1350,S1,86.77,7,1
ETU1350,S2,100.0,0,0
ETU1351,S1,93.35,3,4
ETU1351,S2,83.3,8,3
ETU1352,S1,84.73,8,0
ETU1352,S2,93.75,3,1
ETU1353,S1,56.96,22,2
ETU1353,S2,,7,4
ETU1354,S1,84.91,8,5
ETU1354,S2,79.45,10,4
ETU1355,S1,74.16,13,6
ETU1355,S2,83.16,8,4
ETU1356,S1,93.27,3,1
ETU1356,S2,98.71,1,3
ETU1357,S1,89.77,5,2
ETU1357,S2,90.54,5,1
ETU1358,S1,83.47,8,4
ETU1358,S2,69.21,15,4
ETU1359,S1,92.3,4,2
ETU1359,S2,100.0,0,2
ETU1360,S1,87.9,6,5
ETU1360,S2,95.04,2,4
ETU1361,S1,71.14,14,2
ETU1361,S2,89.61,5,1
ETU1362,S1,95.56,2,1
ETU1362,S2,98.6,1,1
ETU1363,S1,97.01,1,0
ETU1363,S2,100.0,0,3
ETU1364,S1,88.52,6,3
ETU1364,S2,60.02,20,5
ETU1365,S1,80.23,10,2
ETU1365,S2,65.18,17,2
ETU1366,S1,82.84,9,1
ETU1366,S2,72.39,14,2
ETU1367,S1,69.67,15,3
ETU1367,S2,100.0,0,6
ETU1368,S1,,0,4
ETU1368,S2,73.3,13,1
ETU1369,S1,88.51,6,2
ETU1369,S2,77.81,11,3
ETU1370,S1,86.65,7,3
ETU1370,S2,80.61,10,3
ETU1371,S1,100.0,0,3
ETU1371,S2,93.7,3,3
ETU1372,S1,83.44,8,1
ETU1372,S2,88.02,6,2
ETU1373,S1,94.63,3,3
ETU1373,S2,100.0,0,0
ETU1374,S1,92.8,4,1
ETU1374,S2,66.37,17,1
ETU1375,S1,64.69,18,1
ETU1375,S2,73.99,13,2
ETU1376,S1,98.03,1,1
ETU1376,S2,66.95,17,3
ETU1377,S1,100.0,0,2
ETU1377,S2,80.66,10,0
ETU1378,S1,83.07,8,2
ETU1378,S2,84.01,8,3
ETU1379,S1,68.98,16,3
ETU1379,S2,80.75,10,3
ETU1380,S1,88.05,6,5
ETU1380,S2,77.22,11,4
ETU1381,S1,100.0,0,1
ETU1381,S2,94.46,3,0
ETU1382,S1,70.07,15,1
ETU1382,S2,85.82,7,1
ETU1383,S1,81.42,9,2
ETU1383,S2,90.19,5,3
ETU1384,S1,84.64,8,1
ETU1384,S2,82.55,9,0
ETU1385,S1,81.82,9,0
ETU1385,S2,65.6,17,1
ETU1386,S1,75.57,12,5
ETU1386,S2,76.73,12,3
ETU1387,S1,72.78,14,1
ETU1387,S2,57.9,21,2
ETU1388,S1,57.4,21,3
ETU1388,S2,91.9,4,0
ETU1389,S1,96.24,2,3
ETU1389,S2,91.9,4,2
ETU1390,S1,86.92,7,1
ETU1390,S2,77.63,11,3
ETU1391,S1,92.57,4,3
ETU1391,S2,55.13,22,3
ETU1392,S1,78.47,11,1
ETU1392,S2,79.51,10,4
ETU1393,S1,80.19,10,3
ETU1393,S2,85.76,7,3
ETU1394,S1,74.46,13,3
ETU1394,S2,74.17,13,0
ETU1395,S1,81.3,9,1
ETU1395,S2,83.48,8,0
ETU1396,S1,74.3,13,4
ETU1396,S2,74.09,13,1
ETU1397,S1,83.66,8,3
ETU1397,S2,73.27,13,4
ETU1398,S1,92.51,4,1
ETU1398,S2,69.71,15,4
ETU1399,S1,88.74,6,4
ETU1399,S2,73.43,13,2
ETU1400,S1,100.0,0,5
ETU1400,S2,92.78,4,3
ETU1401,S1,79.94,10,6
ETU1401,S2,96.43,2,2
ETU1402,S1,92.49,4,3
ETU1402,S2,84.4,8,1
ETU1403,S1,100.0,0,3
ETU1403,S2,90.06,5,3
ETU1404,S1,100.0,0,0
ETU1404,S2,73.6,13,1
ETU1405,S1,85.09,7,5
ETU1405,S2,76.82,12,2
ETU1406,S1,68.86,16,1
ETU1406,S2,77.0,12,2
ETU1407,S1,74.7,13,2
ETU1407,S2,100.0,0,0
ETU1408,S1,100.0,0,4
ETU1408,S2,87.82,6,3
ETU1409,S1,87.63,6,2
ETU1409,S2,100.0,0,2
ETU1410,S1,86.15,7,4
ETU1410,S2,77.76,11,2
