age_entrepreneur,niveau_formation,region_togo,budget_demande_fcfa,projet_finance
30.0,Technique/EPL,Kara,1699701.977528569,0
24.0,Technique/EPL,Plateaux,279562.7746507386,0
,Aucune,Centrale,4522181.72387582,0
21.0,Aucune,Kara,516583.6806195736,0
22.0,Commerciale,Maritime,303787.22839287977,0
,Technique/EPL,Maritime,1967931.0394527526,0
30.0,Universitaire,Centrale,1426475.8890815875,0
32.0,Commerciale,Plateaux,1160291.7477728666,0
28.0,Universitaire,Kara,369580.11130072,0
21.0,Commerciale,Plateaux,851038.5573129752,0
30.0,Technique/EPL,Maritime,1716658.3268259089,0
24.0,Commerciale,Plateaux,561865.4458084881,0
19.0,Aucune,Maritime,573515.7119956542,0
27.0,Aucune,Plateaux,203145.8490465665,0
30.0,Universitaire,Centrale,391455.2240018735,0
23.0,Commerciale,Savanes,2282691.8190879533,0
29.0,Commerciale,Centrale,782942.1037096644,0
29.0,Aucune,Centrale,4349931.222102273,0
28.0,Technique/EPL,Savanes,703697.693880826,0
24.0,Commerciale,Savanes,1455920.5401126433,0
18.0,Technique/EPL,Kara,531172.9626755405,0
18.0,Universitaire,Kara,652257.4540430544,0
30.0,Commerciale,Centrale,411617.7141920215,0
26.0,Technique/EPL,Centrale,626273.6649859736,0
20.0,Technique/EPL,Maritime,992387.6186462967,0
24.0,Technique/EPL,Maritime,5000319.383809852,0
23.0,Technique/EPL,Kara,1291244.6358162286,0
25.0,Commerciale,Kara,422201.438252512,0
26.0,Technique/EPL,Maritime,246003.56401966207,0
22.0,Commerciale,Maritime,335082.85988712806,0
18.0,Aucune,Plateaux,1026804.7554835133,0
27.0,Commerciale,Plateaux,1648852.247960724,0
29.0,Technique/EPL,Maritime,3020422.0269977762,0
32.0,Aucune,Plateaux,215949.69481931606,0
26.0,Aucune,Savanes,939736.066600744,0
34.0,Universitaire,Kara,836516.1341753276,0
34.0,Universitaire,Kara,1267273.5820055115,0
29.0,Commerciale,Maritime,1020023.8609023918,0
24.0,Aucune,Centrale,1361677.177998521,0
19.0,Aucune,Maritime,1273186.0469543508,0
20.0,Universitaire,Plateaux,324443.35690115637,0
34.0,Technique/EPL,Centrale,1808028.474252502,0
22.0,Technique/EPL,Plateaux,331513.5164397112,0
34.0,Commerciale,Savanes,1399086.844123812,0
34.0,Commerciale,Plateaux,738103.244331756,0
34.0,Commerciale,Savanes,921239.5717357333,0
19.0,Universitaire,Savanes,2536121.3428734215,0
19.0,Technique/EPL,Plateaux,2406218.439395527,0
,Technique/EPL,Plateaux,1902959.3740517278,0
18.0,Universitaire,Savanes,913652.7509936712,0
18.0,Commerciale,Centrale,1532714.9603744904,0
19.0,Aucune,Savanes,919279.7932665584,0
29.0,Technique/EPL,Kara,2237195.27532271,0
23.0,Aucune,Savanes,715462.7473456725,0
21.0,Universitaire,Centrale,3714433.6435801922,0
28.0,Commerciale,Kara,2893005.318487412,0
34.0,Universitaire,Maritime,23298849.664835766,0
23.0,Technique/EPL,Maritime,527693.1238975945,0
22.0,Commerciale,Centrale,341164.55268551223,0
19.0,Universitaire,Savanes,2128978.4533071984,0
,Aucune,Plateaux,380685.6390029973,0
28.0,Technique/EPL,Centrale,2125936.4804868884,0
33.0,Technique/EPL,Kara,874845.6925712958,0
33.0,Aucune,Kara,721813.7456817087,0
18.0,Commerciale,Maritime,2535013.029261643,0
26.0,Technique/EPL,Kara,1125964.8317968016,0
23.0,Commerciale,Centrale,1059471.0033267627,0
33.0,Technique/EPL,Kara,1018179.8065136337,0
20.0,Aucune,Centrale,663893.5594295342,0
21.0,Technique/EPL,Plateaux,1740112.9125771432,0
20.0,Aucune,Maritime,491420.3096496684,0
24.0,Technique/EPL,Kara,2995160.929156949,0
26.0,Commerciale,Centrale,2444176.619581086,0
18.0,Universitaire,Savanes,611705.0244682165,0
25.0,Universitaire,Maritime,1507349.2518887292,0
24.0,Aucune,Plateaux,1051494.106039697,0
25.0,Aucune,Centrale,611960.108027759,0
18.0,Aucune,Plateaux,4667292.452005864,0
28.0,Universitaire,Plateaux,225561.2692578261,0
27.0,Aucune,Kara,491216.3514929747,0
20.0,Technique/EPL,Kara,934123.4809663047,0
24.0,Universitaire,Centrale,938046.2322411829,0
,Technique/EPL,Savanes,1088999.2430597045,0
33.0,Aucune,Centrale,1593021.6266056146,0
34.0,Technique/EPL,Savanes,1176778.3503928513,0
19.0,Commerciale,Plateaux,1116994.6308730308,0
18.0,Universitaire,Maritime,254999.58886476594,0
33.0,Technique/EPL,Centrale,672455.0920897409,0
29.0,Aucune,Centrale,464038.1262042364,0
22.0,Commerciale,Savanes,508388.45979475696,0
22.0,Universitaire,Plateaux,1008193.2823050354,0
26.0,Technique/EPL,Plateaux,422525.3860797247,0
26.0,Commerciale,Savanes,548067.94921069,0
20.0,Technique/EPL,Plateaux,470608.2741981679,0
33.0,Universitaire,Kara,3166230.6228134213,0
33.0,Universitaire,Maritime,3094362.8909621285,0
20.0,Technique/EPL,Centrale,1141458.7013310841,0
18.0,Commerciale,Maritime,2783920.2661165693,0
,Universitaire,Centrale,1740904.1585112314,0
34.0,Universitaire,Kara,1091471.012244686,0
25.0,Aucune,Plateaux,206456.00673280226,0
21.0,Aucune,Savanes,1680676.6303158307,0
,Technique/EPL,Kara,1412301.8668263599,0
25.0,Universitaire,Maritime,1155171.0015191808,0
20.0,Technique/EPL,Savanes,1628885.8856789959,0
33.0,Universitaire,Plateaux,919331.3427458439,0
20.0,Universitaire,Kara,1417677.1862680933,0
31.0,Aucune,Savanes,2936019.00798091,0
19.0,Universitaire,Kara,671292.4848171003,0
20.0,Aucune,Kara,1431418.8065942181,0
33.0,Commerciale,Plateaux,845668.0049052318,0
26.0,Technique/EPL,Centrale,1322084.575486945,0
,Aucune,Savanes,1639245.1781420088,0
18.0,Technique/EPL,Plateaux,246517.8732365931,0
21.0,Technique/EPL,Kara,1240155.9753187841,0
18.0,Universitaire,Plateaux,457141.4667796431,0
31.0,Universitaire,Centrale,1308761.2287997222,0
33.0,Universitaire,Savanes,831732.6325751191,0
25.0,Aucune,Centrale,1685243.2170898134,0
24.0,Aucune,Maritime,331705.4209608956,0
20.0,Aucune,Savanes,1184361.7560434625,0
34.0,Universitaire,Centrale,526382.3318441592,0
18.0,Commerciale,Kara,2117200.2189592794,0
33.0,Technique/EPL,Savanes,2836429.863338222,0
29.0,Aucune,Savanes,87395213.5165803,0
31.0,Universitaire,Plateaux,1789671.5722045398,0
23.0,Commerciale,Kara,1601343.3124049169,0
23.0,Universitaire,Maritime,442709.6741359052,0
30.0,Commerciale,Centrale,609483.7605714127,0
25.0,Technique/EPL,Plateaux,826765.1255798881,0
19.0,Aucune,Centrale,1684485.2965610551,0
18.0,Commerciale,Maritime,2664702.51578841,0
32.0,Universitaire,Maritime,409658.75625184807,0
18.0,Technique/EPL,Savanes,2755768.9275707603,0
22.0,Universitaire,Maritime,1389493.642982676,0
33.0,Commerciale,Centrale,1143586.7277082242,0
21.0,Universitaire,Kara,422945.16009747307,0
20.0,Universitaire,Kara,257126.09616009457,0
34.0,Technique/EPL,Savanes,1040406.4241610267,0
34.0,Universitaire,Centrale,1254162.0521726534,0
29.0,Universitaire,Centrale,436711.9994772489,0
31.0,Commerciale,Maritime,1012958.735378117,0
23.0,Commerciale,Centrale,2141374.271059248,0
20.0,Commerciale,Plateaux,2002209.5543950314,0
26.0,Aucune,Maritime,2822173.200335656,0
22.0,Universitaire,Plateaux,655526.2296539482,0
34.0,Universitaire,Savanes,582798.3108053122,0
31.0,Universitaire,Kara,1584001.0167687149,0
20.0,Universitaire,Savanes,764072.4128719689,0
,Commerciale,Kara,291620.5253890124,0
18.0,Technique/EPL,Savanes,532402.1137589548,0
20.0,Universitaire,Centrale,742285.8226794316,0
27.0,Aucune,Plateaux,546040.8659550959,0
20.0,Technique/EPL,Kara,603774.8937465553,0
25.0,Universitaire,Maritime,547822.6785031338,0
31.0,Universitaire,Plateaux,242384.8476215722,0
32.0,Technique/EPL,Maritime,1213613.3625672795,0
19.0,Aucune,Plateaux,1109544.5892344895,0
27.0,Universitaire,Plateaux,1259536.2931359585,0
19.0,Aucune,Savanes,413576.8287243676,0
34.0,Aucune,Kara,550486.3352450515,0
25.0,Aucune,Kara,1166573.818127815,0
18.0,Aucune,Plateaux,1115360.0862090057,0
26.0,Aucune,Centrale,905888.6278527982,0
28.0,Technique/EPL,Centrale,631418.8875258799,0
33.0,Technique/EPL,Maritime,2641054.426057628,0
24.0,Commerciale,Maritime,615167.3868115593,0
27.0,Universitaire,Savanes,808106.1969893584,0
20.0,Universitaire,Plateaux,1333557.3082180764,0
30.0,Aucune,Maritime,983118.7838631547,0
24.0,Technique/EPL,Maritime,626003.5498869448,0
21.0,Universitaire,Plateaux,772071.4215723587,0
30.0,Aucune,Savanes,1782215.905623548,0
18.0,Technique/EPL,Maritime,525909.0418067984,0
25.0,Universitaire,Savanes,353448.7060081594,0
31.0,Universitaire,Kara,575658.5722295642,0
33.0,Aucune,Savanes,2094019.5660746577,0
31.0,Technique/EPL,Centrale,293201.0918367842,0
29.0,Universitaire,Centrale,4991026.788393859,0
32.0,Aucune,Savanes,978711.3846880777,0
19.0,Universitaire,Centrale,4389473.860214733,0
19.0,Universitaire,Kara,2996822.7622006866,0
34.0,Commerciale,Plateaux,802965.9755078168,0
27.0,Technique/EPL,Centrale,421259.17113096325,0
,Commerciale,Centrale,380185.57151376206,0
,Universitaire,Savanes,474422.85089173744,0
28.0,Technique/EPL,Kara,1438331.8418893549,0
22.0,Aucune,Plateaux,518760.02077621897,0
18.0,Universitaire,Savanes,617677.2784432913,0
25.0,Technique/EPL,Savanes,795619.1057306981,0
29.0,Technique/EPL,Kara,2644525.2307620537,0
29.0,Aucune,Plateaux,409972.4447676593,0
22.0,Commerciale,Kara,205039.22821962612,0
24.0,Universitaire,Plateaux,261977.9732102539,0
21.0,Universitaire,Kara,2551421.845889954,0
23.0,Technique/EPL,Savanes,1242751.3665962007,0
30.0,Aucune,Savanes,518884.6755374778,0
32.0,Universitaire,Maritime,395033.007257496,0
20.0,Technique/EPL,Centrale,548517.9268121507,0
25.0,Aucune,Kara,321938.1995632782,0
33.0,Universitaire,Maritime,3039291.252010424,0
30.0,Commerciale,Centrale,1733431.8380839485,0
27.0,Universitaire,Kara,820624.0779148308,0
34.0,Universitaire,Plateaux,2202203.539754236,0
22.0,Commerciale,Centrale,486959.93897724216,0
26.0,Technique/EPL,Savanes,1462734.5091226657,0
29.0,Universitaire,Maritime,2138862.5350273605,0
18.0,Commerciale,Centrale,641250.9174361886,0
18.0,Aucune,Centrale,1616606.9626537052,0
32.0,Universitaire,Savanes,549660.1045059182,0
19.0,Universitaire,Kara,555043.6113698953,0
33.0,Universitaire,Plateaux,313232.7298915597,0
25.0,Universitaire,Savanes,779922.1551065083,0
30.0,Commerciale,Plateaux,1508266.8758649803,0
18.0,Universitaire,Kara,3017097.597815753,0
33.0,Aucune,Centrale,1125828.5524423588,0
24.0,Commerciale,Plateaux,2188764.169398766,0
22.0,Technique/EPL,Maritime,1928754.525677222,0
20.0,Technique/EPL,Maritime,390365.4861917285,0
29.0,Technique/EPL,Savanes,865176.8799263424,0
33.0,Technique/EPL,Kara,324343.4858934297,0
22.0,Technique/EPL,Savanes,1346185.6523587524,0
31.0,Commerciale,Savanes,3193727.649078431,0
22.0,Universitaire,Savanes,347444.2526909028,0
32.0,Universitaire,Maritime,1523819.7088046693,0
34.0,Aucune,Maritime,1200319.699402018,0
31.0,Commerciale,Savanes,1076121.0388757258,0
22.0,Commerciale,Maritime,694493.4472891876,0
29.0,Universitaire,Kara,638709.0880633045,0
33.0,Aucune,Savanes,246304.90345962986,0
33.0,Aucune,Maritime,445783.8038848572,0
24.0,Technique/EPL,Plateaux,215293.22986144785,0
21.0,Aucune,Savanes,1070880.333594054,0
18.0,Technique/EPL,Savanes,311885.3515976686,0
22.0,Commerciale,Kara,2263720.9130801386,0
27.0,Technique/EPL,Centrale,940538.6667995984,0
22.0,Aucune,Centrale,1402939.7016893125,0
21.0,Technique/EPL,Kara,729086.496305908,0
19.0,Aucune,Kara,1022299.1687925187,0
,Aucune,Kara,3058742.4650657545,0
18.0,Technique/EPL,Centrale,286357.8156513806,0
22.0,Technique/EPL,Kara,492946.2666053864,0
30.0,Universitaire,Maritime,1714074.674539855,0
21.0,Commerciale,Savanes,303958.3956239915,0
33.0,Technique/EPL,Savanes,278676.5039178255,0
33.0,Technique/EPL,Plateaux,648698.4431276994,0
19.0,Commerciale,Plateaux,296695.89378229296,0
34.0,Technique/EPL,Savanes,1079665.7939818169,0
29.0,Aucune,Maritime,456539.0898507052,0
20.0,Commerciale,Centrale,2460464.38887627,0
18.0,Aucune,Centrale,1730165.1049588616,0
18.0,Universitaire,Maritime,1402990.6404717204,0
28.0,Universitaire,Centrale,1159574.1578800688,0
22.0,Technique/EPL,Kara,2191179.636097853,0
29.0,Technique/EPL,Savanes,452394.8050899317,0
20.0,Universitaire,Savanes,2264425.5896229995,0
18.0,Aucune,Maritime,1758233.0394698572,0
18.0,Technique/EPL,Centrale,1578964.5951581234,0
25.0,Universitaire,Plateaux,1023838.4457671115,0
27.0,Universitaire,Plateaux,482686.78433141037,0
28.0,Aucune,Centrale,750863.0580644953,0
29.0,Commerciale,Plateaux,1777797.0778589244,0
,Technique/EPL,Maritime,232294.37941125134,0
29.0,Commerciale,Maritime,1723493.1298463286,0
31.0,Universitaire,Centrale,474529.92962283734,0
19.0,Universitaire,Plateaux,355846.1838908002,0
20.0,Technique/EPL,Maritime,322960.3980498705,0
34.0,Commerciale,Maritime,227628.17940307182,0
25.0,Aucune,Kara,941469.0733505861,0
27.0,Universitaire,Kara,446232.9116893683,0
19.0,Aucune,Maritime,4749902.548838858,0
26.0,Technique/EPL,Centrale,1054341.7071658429,0
24.0,Technique/EPL,Savanes,348366.9189803393,0
21.0,Commerciale,Savanes,1367199.1237783774,0
30.0,Commerciale,Maritime,2480271.5668182666,0
28.0,Aucune,Maritime,1567195.885090287,0
21.0,Aucune,Maritime,279519.3607694889,0
,Universitaire,Centrale,2462251.3571021687,0
27.0,Technique/EPL,Kara,1779536.3818430773,0
22.0,Aucune,Maritime,372336.2563806814,0
26.0,Universitaire,Maritime,253174.94646161847,0
,Universitaire,Plateaux,1014886.8277478213,0
34.0,Commerciale,Centrale,369645.21578398196,0
20.0,Technique/EPL,Maritime,1999333.7977390408,0
33.0,Technique/EPL,Plateaux,643688.3832759543,0
21.0,Universitaire,Savanes,2640611.656481169,0
34.0,Universitaire,Maritime,1033992.5055064417,0
24.0,Universitaire,Maritime,401715.26601788035,0
22.0,Universitaire,Plateaux,350356.5651782246,0
29.0,Technique/EPL,Centrale,1059136.6844995474,0
34.0,Commerciale,Maritime,1634995.6990567537,0
30.0,Technique/EPL,Savanes,1720995.1125708593,0
20.0,Aucune,Maritime,522628.86598353204,0
26.0,Universitaire,Savanes,428466.1398306391,0
34.0,Technique/EPL,Kara,216898.27958234056,0
34.0,Aucune,Kara,1336934.7571116365,0
33.0,Commerciale,Savanes,279658.3948341774,0
30.0,Technique/EPL,Centrale,746040.4542527145,0
34.0,Universitaire,Maritime,1120505.0095267359,0
21.0,Technique/EPL,Maritime,2966351.3339682617,0
29.0,Universitaire,Kara,573678.890761283,0
26.0,Aucune,Savanes,487378.3351799764,0
29.0,Technique/EPL,Maritime,1261779.4847427378,0
26.0,Commerciale,Maritime,1165583.4814591333,0
24.0,Universitaire,Centrale,603631.4652214668,0
31.0,Technique/EPL,Plateaux,2832504.5432289327,0
32.0,Technique/EPL,Kara,2063442.3465434415,0
33.0,Commerciale,Kara,453580.2666099637,0
22.0,Universitaire,Plateaux,473309.2519831577,0
20.0,Universitaire,Maritime,918055.5275378217,0
29.0,Universitaire,Centrale,1685328.7146737329,0
21.0,Aucune,Centrale,245039.6046768213,0
33.0,Aucune,Kara,1381999.8337162142,0
24.0,Universitaire,Centrale,1244794.4910609738,0
30.0,Aucune,Plateaux,463288.81642084615,0
27.0,Technique/EPL,Maritime,1343671.4135394108,0
24.0,Commerciale,Plateaux,3016468.57478081,0
31.0,Universitaire,Savanes,247915.68385917466,0
22.0,Universitaire,Kara,585150.9282832677,0
20.0,Universitaire,Centrale,776567.9210026687,0
28.0,Universitaire,Savanes,2495215.901552552,0
28.0,Aucune,Centrale,3477073.070702632,0
32.0,Technique/EPL,Maritime,787194.2840876828,0
29.0,Technique/EPL,Maritime,1586408.0161471432,0
26.0,Technique/EPL,Maritime,958562.9370535281,0
27.0,Universitaire,Centrale,971720.6600176871,0
29.0,Technique/EPL,Savanes,525867.9820909617,0
34.0,Technique/EPL,Maritime,444566.70442981063,0
23.0,Technique/EPL,Savanes,539684.8759186314,0
24.0,Aucune,Centrale,1012669.7446474296,0
31.0,Technique/EPL,Savanes,229588.64428956556,0
30.0,Aucune,Centrale,38667542.93935903,0
,Aucune,Centrale,369938.9896524963,0
27.0,Aucune,Kara,448575.0540581533,0
,Technique/EPL,Centrale,930384.3093292514,0
19.0,Universitaire,Centrale,1438270.1803203463,0
22.0,Technique/EPL,Plateaux,300626.2452933882,0
22.0,Technique/EPL,Maritime,582278.0637519447,0
23.0,Universitaire,Kara,3663326.1868780674,0
25.0,Aucune,Kara,504276.2870350528,0
33.0,Commerciale,Kara,575493.980782079,0
30.0,Universitaire,Plateaux,2010933.056993456,0
18.0,Technique/EPL,Centrale,251519.03743449523,0
34.0,Universitaire,Maritime,824765.7444048966,0
24.0,Aucune,Savanes,677417.8700494807,0
,Universitaire,Centrale,580655.565635311,0
21.0,Technique/EPL,Plateaux,536451.6684954087,0
21.0,Commerciale,Centrale,295821.82601937925,0
23.0,Aucune,Centrale,578082.2093192325,0
29.0,Universitaire,Plateaux,244006.64630706783,0
24.0,Universitaire,Kara,1718518.556587867,0
27.0,Aucune,Kara,707876.3005619638,0
24.0,Technique/EPL,Maritime,786814.0362346118,0
20.0,Universitaire,Maritime,2440498.8241408104,0
30.0,Commerciale,Kara,1273105.326368696,0
30.0,Technique/EPL,Savanes,208091.7534541975,0
25.0,Universitaire,Centrale,3067775.7937408597,0
26.0,Commerciale,Savanes,470686.6050449802,0
24.0,Commerciale,Centrale,313856.71161940496,0
18.0,Aucune,Kara,1661570.5530173795,0
20.0,Universitaire,Maritime,894102.2682444549,0
30.0,Technique/EPL,Maritime,768755.9225230869,0
34.0,Commerciale,Savanes,487019.7314250235,0
18.0,Technique/EPL,Maritime,992904.5119978101,0
23.0,Aucune,Kara,520735.1637615549,0
23.0,Universitaire,Savanes,2518541.77933939,0
29.0,Technique/EPL,Centrale,442332.078868061,0
30.0,Commerciale,Maritime,2357231.42614943,0
30.0,Commerciale,Plateaux,1019630.1590958837,0
32.0,Universitaire,Maritime,1963102.8246544553,0
33.0,Aucune,Centrale,1447736.6073530866,0
28.0,Universitaire,Savanes,1393016.7465037073,0
22.0,Aucune,Centrale,592073.8836701902,0
21.0,Aucune,Plateaux,466438.5640793184,0
20.0,Commerciale,Kara,436844.7704086039,0
32.0,Technique/EPL,Maritime,2146251.8068308053,0
26.0,Technique/EPL,Savanes,1917172.4675561213,0
34.0,Commerciale,Kara,780843.1772250799,0
31.0,Technique/EPL,Centrale,342029.8175821158,0
32.0,Technique/EPL,Savanes,681675.0795712292,0
18.0,Commerciale,Kara,1165857.7648374126,0
20.0,Aucune,Savanes,805874.9541410664,0
33.0,Universitaire,Plateaux,1714988.414196257,0
28.0,Commerciale,Plateaux,6241841.314849345,0
29.0,Commerciale,Maritime,412119.6489858922,0
27.0,Universitaire,Maritime,815539.718139031,0
33.0,Technique/EPL,Plateaux,763846.5533769664,0
,Technique/EPL,Savanes,563113.5311542782,0
23.0,Commerciale,Plateaux,420765.7763633455,0
,Commerciale,Maritime,267949.25533983536,0
25.0,Universitaire,Plateaux,2381423.922764327,0
21.0,Technique/EPL,Plateaux,744466.3434032329,0
25.0,Aucune,Savanes,886957.4137528206,0
22.0,Aucune,Kara,2688216.700377048,0
26.0,Universitaire,Maritime,1697406.8432916817,0
21.0,Technique/EPL,Savanes,339838.39903265634,0
34.0,Commerciale,Plateaux,1033375.1570099234,0
26.0,Universitaire,Plateaux,783848.5272906608,0
18.0,Aucune,Kara,1795589.6072702715,0
30.0,Universitaire,Maritime,1488197.332232794,0
33.0,Technique/EPL,Maritime,1372492.6190622617,0
30.0,Universitaire,Centrale,616341.2931841533,0
31.0,Universitaire,Maritime,1834569.739761324,0
20.0,Commerciale,Kara,253813.6210018958,0
23.0,Commerciale,Centrale,373906.94090264686,0
22.0,Technique/EPL,Centrale,608905.9304204969,0
,Aucune,Plateaux,279917.4433444948,0
19.0,Universitaire,Plateaux,467871.9648367705,0
27.0,Aucune,Maritime,1972845.3718395573,0
30.0,Technique/EPL,Centrale,3161360.563028505,0
22.0,Aucune,Plateaux,563271.4470675373,0
,Universitaire,Kara,507226.22657984815,0
18.0,Aucune,Plateaux,528354.9839832722,0
32.0,Universitaire,Plateaux,525341.1400682786,0
34.0,Commerciale,Centrale,236591.56187587843,0
28.0,Aucune,Centrale,2816150.553252825,0
34.0,Aucune,Savanes,440414.51647522324,0
30.0,Technique/EPL,Kara,744734.1997446268,0
18.0,Commerciale,Centrale,209734.1057998673,0
19.0,Technique/EPL,Maritime,2151612.0102193262,0
26.0,Technique/EPL,Kara,1513628.9941390855,0
20.0,Aucune,Kara,3132870.8174110455,0
18.0,Universitaire,Centrale,1721497.9130645576,0
,Technique/EPL,Kara,576449.9177502826,0
23.0,Universitaire,Centrale,484850.5632647416,0
34.0,Commerciale,Plateaux,1396389.3235849605,0
22.0,Technique/EPL,Savanes,652734.0505638212,0
22.0,Commerciale,Plateaux,1035206.2956481543,0
23.0,Aucune,Centrale,206277.1310559139,0
20.0,Commerciale,Centrale,263883.4841803033,0
22.0,Universitaire,Plateaux,966509.4579735908,0
22.0,Commerciale,Maritime,1034875.8424915398,0
27.0,Aucune,Maritime,1592123.0930589754,0
27.0,Aucune,Maritime,341523.61076966615,0
34.0,Technique/EPL,Centrale,919867.168589165,0
31.0,Technique/EPL,Kara,416227.0808754842,0
26.0,Technique/EPL,Centrale,297829.08109313605,0
31.0,Technique/EPL,Kara,728473.4242728347,0
,Aucune,Plateaux,5675002.460875445,0
30.0,Technique/EPL,Savanes,450748.5603759049,0
