date_inscription,age,genre,region,type_abonnement,depense_mensuelle,nb_commandes_mois_dernier,nb_retours,jours_depuis_derniere_commande,score_satisfaction,churn
2023-03-02,52,Femme,Maritime,Premium,51.28,5,0,111,5.8,0
2023-03-03,69,Femme,Kara,Standard,23.8,3,0,58,6.1,0
2023-03-03,28,Homme,Centrale,Standard,35.25,3,0,67,7.7,0
2023-03-03,24,Femme,Plateaux,Standard,19.21,2,1,162,5.5,1
2023-03-03,27,Homme,Maritime,VIP,88.36,9,1,2,6.9,0
2023-03-03,61,Homme,Plateaux,Premium,39.51,4,0,30,5.4,0
2023-03-03,63,Femme,Plateaux,Standard,33.46,3,0,151,4.7,0
2023-03-04,40,Homme,Plateaux,Premium,27.93,4,0,95,5.0,0
2023-03-04,20,Homme,Centrale,Standard,12.56,1,0,65,6.6,0
2023-03-04,48,Femme,Plateaux,Premium,44.71,5,0,56,5.9,0
2023-03-05,60,Homme,Maritime,VIP,60.99,7,2,134,6.2,0
2023-03-06,51,Femme,Plateaux,Standard,62.72,6,0,73,7.9,0
2023-03-06,22,Homme,Savanes,VIP,55.35,5,0,125,5.6,0
2023-03-06,20,Femme,Maritime,Standard,41.3,3,0,39,7.1,0
2023-03-07,63,Homme,Kara,Standard,2.0,1,0,158,5.4,0
2023-03-07,54,Femme,Kara,Standard,48.22,5,0,78,6.1,0
2023-03-07,66,Femme,Kara,Premium,50.66,4,0,46,6.2,0
2023-03-07,37,Femme,Kara,Standard,56.97,5,1,121,5.1,0
2023-03-07,44,Homme,Plateaux,Standard,33.38,2,2,20,6.8,0
2023-03-07,56,Homme,Centrale,Premium,46.14,5,0,108,8.1,0
2023-03-08,50,Femme,Centrale,Standard,39.04,2,0,72,6.9,0
2023-03-08,61,Homme,Plateaux,Standard,29.7,3,0,152,7.7,0
2023-03-08,36,Femme,Kara,Standard,46.18,7,2,89,4.2,0
2023-03-08,19,Femme,Maritime,Premium,50.79,6,0,21,8.1,0
2023-03-08,45,Femme,Maritime,Standard,27.13,1,1,25,6.3,0
2023-03-09,22,Homme,Maritime,Standard,37.17,2,0,8,8.9,0
2023-03-10,26,Homme,Centrale,Standard,2.0,0,0,58,6.2,0
2023-03-10,37,Homme,Kara,Premium,36.26,1,0,135,5.2,0
2023-03-10,69,Femme,Plateaux,Premium,53.06,4,0,120,4.7,0
2023-03-10,50,Homme,Kara,Standard,35.21,3,1,29,5.8,0
2023-03-10,19,Homme,Plateaux,Standard,13.82,2,1,86,4.5,1
2023-03-11,66,Homme,Maritime,Premium,57.48,5,0,14,8.1,0
2023-03-11,24,Homme,Plateaux,Standard,23.1,2,0,147,4.9,0
2023-03-11,41,Femme,Savanes,Standard,36.16,2,0,123,4.2,0
2023-03-11,27,Femme,Maritime,Standard,44.04,2,1,157,4.0,0
2023-03-11,43,Femme,Maritime,Premium,24.35,0,0,20,6.9,0
2023-03-12,43,Femme,Plateaux,VIP,63.84,7,0,90,5.4,0
2023-03-12,56,Homme,Maritime,Premium,77.07,7,0,7,7.5,0
2023-03-12,69,Homme,Maritime,Standard,23.62,2,0,150,2.8,0
2023-03-14,34,Homme,Plateaux,Standard,3.75,2,0,171,5.0,1
2023-03-14,25,Femme,Maritime,VIP,86.82,7,1,10,5.2,0
2023-03-14,45,Femme,Maritime,Standard,11.87,0,1,50,6.4,0
2023-03-14,19,Femme,Centrale,Premium,46.43,4,0,111,5.9,0
2023-03-15,20,Homme,Maritime,Standard,26.76,0,0,94,4.0,0
2023-03-16,27,Homme,Savanes,Standard,22.98,1,0,122,3.9,0
2023-03-16,47,Homme,Maritime,Premium,16.64,1,0,113,6.0,0
2023-03-16,49,Femme,Plateaux,Standard,29.31,2,1,69,7.2,0
2023-03-17,27,Homme,Plateaux,Standard,11.8,0,1,96,5.0,0
2023-03-17,43,Homme,Maritime,Premium,30.11,4,0,1,5.6,0
2023-03-17,51,Homme,Maritime,Standard,43.02,3,0,51,9.2,0
2023-03-18,51,Homme,Plateaux,Standard,24.71,3,0,137,3.9,0
2023-03-18,60,Femme,Kara,VIP,67.05,5,0,63,6.9,0
2023-03-18,38,Homme,Maritime,Premium,84.85,7,0,8,5.7,0
2023-03-18,35,Homme,Maritime,Standard,11.46,1,0,147,5.6,1
2023-03-19,21,Femme,Kara,Standard,24.05,2,2,102,3.9,1
2023-03-19,19,Homme,Savanes,Premium,29.34,1,1,150,3.8,0
2023-03-19,33,Homme,Plateaux,Standard,33.61,1,2,53,5.8,0
2023-03-19,43,Homme,Maritime,Standard,40.44,5,0,141,5.3,0
2023-03-19,63,Homme,Maritime,Standard,36.84,4,0,104,4.4,0
2023-03-20,19,Homme,Plateaux,Premium,59.59,5,0,100,4.0,1
2023-03-20,48,Homme,Centrale,Standard,38.33,3,0,171,5.6,0
2023-03-21,45,Femme,Maritime,Standard,18.44,1,0,71,5.2,0
2023-03-21,25,Femme,Plateaux,VIP,74.86,6,0,22,5.2,0
2023-03-21,39,Homme,Plateaux,Standard,29.76,6,0,110,7.2,0
2023-03-22,21,Homme,Maritime,Standard,21.24,1,0,50,4.2,0
2023-03-22,24,Femme,Kara,Standard,33.56,2,0,132,3.8,0
2023-03-22,34,Femme,Centrale,Premium,59.4,5,0,135,4.8,1
2023-03-23,56,Femme,Maritime,Premium,38.73,4,1,22,5.9,0
2023-03-23,41,Femme,Maritime,Standard,36.82,2,0,154,4.2,0
2023-03-23,45,Femme,Maritime,Standard,23.28,3,0,119,5.5,0
2023-03-23,29,Femme,Maritime,Premium,25.59,2,1,165,5.3,0
2023-03-24,63,Homme,Plateaux,VIP,81.16,6,0,179,6.0,0
2023-03-25,54,Homme,Maritime,Standard,59.33,3,0,30,5.4,0
2023-03-25,54,Femme,Plateaux,Standard,23.21,2,0,105,6.1,0
2023-03-25,22,Homme,Kara,Standard,26.34,5,0,72,6.7,0
2023-03-25,60,Homme,Maritime,Standard,39.8,5,0,70,7.1,0
2023-03-25,31,Homme,Maritime,Standard,41.35,4,0,36,6.2,0
2023-03-26,56,Femme,Centrale,VIP,78.65,8,0,86,6.7,0
2023-03-26,43,Femme,Plateaux,Premium,44.39,2,0,30,7.8,0
2023-03-26,57,Femme,Maritime,Premium,28.92,0,1,12,8.5,0
2023-03-27,50,Homme,Kara,Premium,47.01,7,1,150,6.0,0
2023-03-28,64,Femme,Maritime,Standard,21.87,3,0,143,5.6,1
2023-03-28,62,Homme,Maritime,Standard,30.63,4,0,152,5.7,0
2023-03-28,44,Homme,Plateaux,Standard,36.32,1,1,92,5.3,0
2023-03-28,59,Homme,Centrale,VIP,82.46,6,0,63,5.6,0
2023-03-28,56,Homme,Kara,Premium,41.95,5,0,94,5.4,0
2023-03-29,23,Femme,Plateaux,Premium,38.83,3,0,30,8.3,0
2023-03-29,61,Femme,Centrale,Premium,33.19,4,0,63,5.4,0
2023-03-29,37,Homme,Plateaux,Premium,49.14,5,0,179,4.2,0
2023-03-29,54,Femme,Centrale,Standard,23.83,1,1,49,7.6,0
2023-03-29,23,Femme,Kara,Standard,26.38,2,0,166,5.6,1
2023-03-29,58,Femme,Savanes,Standard,17.2,1,0,33,8.5,0
2023-03-30,40,Femme,Plateaux,Standard,41.51,4,1,178,3.4,1
2023-03-30,31,Homme,Kara,VIP,53.18,4,0,132,7.8,0
2023-03-30,49,Homme,Plateaux,Standard,30.14,1,0,140,4.3,1
2023-03-31,63,Femme,Centrale,Premium,47.66,5,0,47,6.3,0
2023-03-31,57,Homme,Savanes,Standard,29.74,2,1,111,4.0,0
2023-03-31,61,Femme,Maritime,Premium,43.78,2,1,52,6.0,1
2023-04-01,69,Femme,Kara,Premium,49.93,3,0,59,7.8,0
2023-04-01,66,Femme,Centrale,Premium,48.22,4,0,146,8.7,0
2023-04-01,47,Femme,Plateaux,Standard,46.97,5,0,109,5.1,0
2023-04-02,25,Femme,Plateaux,VIP,82.96,9,0,81,7.6,0
2023-04-02,29,Femme,Maritime,Standard,22.34,1,0,135,5.9,0
2023-04-02,53,Homme,Savanes,Standard,41.24,3,0,61,6.6,0
2023-04-03,41,Femme,Maritime,Standard,11.67,1,0,142,7.1,0
2023-04-03,61,Homme,Maritime,Premium,56.15,6,1,38,5.5,0
2023-04-04,67,Homme,Maritime,Standard,40.89,7,1,121,4.6,1
2023-04-04,36,Homme,Savanes,Standard,23.13,2,0,151,6.8,0
2023-04-04,19,Homme,Kara,Premium,67.45,4,0,51,6.3,0
2023-04-04,54,Femme,Plateaux,Standard,61.83,6,0,60,5.6,0
2023-04-04,55,Homme,Maritime,Standard,25.08,3,1,135,6.5,0
2023-04-05,21,Femme,Maritime,Standard,20.2,0,0,141,6.5,1
2023-04-05,60,Homme,Maritime,Standard,21.89,3,0,139,3.5,0
2023-04-05,35,Femme,Centrale,Standard,14.0,3,0,167,4.8,0
2023-04-06,27,Femme,Maritime,Standard,21.66,2,0,113,6.2,0
2023-04-06,34,Homme,Maritime,Standard,31.09,3,0,129,5.2,0
2023-04-07,67,Femme,Maritime,Premium,37.32,4,0,40,7.4,0
2023-04-07,47,Homme,Maritime,Standard,59.56,5,0,116,7.2,0
2023-04-07,18,Femme,Maritime,Premium,52.08,4,0,171,6.3,1
2023-04-07,49,Femme,Maritime,Standard,46.48,3,0,76,7.9,0
2023-04-07,68,Homme,Plateaux,Premium,40.94,3,1,167,3.2,0
2023-04-08,49,Femme,Centrale,Standard,64.34,7,0,32,6.5,0
2023-04-08,43,Femme,Maritime,Premium,43.62,3,0,95,4.2,0
2023-04-09,47,Femme,Maritime,VIP,59.21,4,0,58,5.2,0
2023-04-09,63,Femme,Maritime,VIP,68.12,4,0,167,7.4,0
2023-04-09,50,Homme,Plateaux,Standard,25.03,3,2,22,5.8,0
2023-04-10,24,Femme,Plateaux,Premium,16.74,2,0,141,4.9,1
2023-04-10,33,Femme,Maritime,VIP,49.57,4,0,24,5.9,0
2023-04-11,22,Homme,Centrale,Standard,18.64,1,0,9,8.7,0
2023-04-11,55,Femme,Kara,Standard,32.82,4,1,158,5.1,0
2023-04-11,23,Homme,Maritime,Standard,18.77,2,0,75,4.8,0
2023-04-12,50,Femme,Centrale,Premium,41.62,2,0,85,6.0,0
2023-04-12,65,Homme,Maritime,Standard,36.89,3,0,160,5.8,0
2023-04-13,29,Homme,Kara,Standard,20.91,3,0,164,5.1,0
2023-04-13,67,Femme,Savanes,Standard,33.17,2,0,74,7.9,0
2023-04-13,46,Homme,Centrale,Premium,47.04,3,1,58,6.5,0
2023-04-13,29,Homme,Kara,Standard,2.0,2,0,38,7.5,0
2023-04-13,22,Femme,Maritime,Premium,42.14,3,0,28,7.5,0
2023-04-13,42,Homme,Centrale,Standard,10.48,1,0,30,7.1,0
2023-04-13,30,Homme,Maritime,Premium,24.77,2,1,179,7.1,0
2023-04-14,42,Femme,Maritime,Premium,34.92,1,0,150,6.1,1
2023-04-14,57,Femme,Maritime,Premium,26.6,3,0,176,6.6,0
2023-04-14,19,Homme,Plateaux,Standard,42.76,4,1,167,5.6,0
2023-04-15,46,Homme,Plateaux,Premium,33.16,3,1,130,6.5,0
2023-04-15,53,Homme,Maritime,Standard,44.65,3,0,124,4.7,0
2023-04-15,52,Femme,Plateaux,Standard,24.75,2,1,47,7.3,0
2023-04-16,54,Homme,Maritime,Standard,35.71,3,0,1,7.6,0
2023-04-16,46,Femme,Savanes,Standard,19.67,1,0,15,6.0,0
2023-04-16,37,Femme,Maritime,Standard,39.32,3,1,122,2.2,1
2023-04-16,67,Homme,Maritime,Standard,33.01,2,0,27,7.3,0
2023-04-16,53,Homme,Kara,Premium,42.97,3,0,16,8.7,0
2023-04-17,20,Femme,Kara,Standard,37.99,3,0,178,5.1,1
2023-04-18,35,Homme,Kara,Premium,42.41,3,1,47,6.7,0
2023-04-18,22,Homme,Plateaux,Standard,50.17,4,0,128,4.3,0
2023-04-18,18,Femme,Maritime,VIP,84.55,6,0,81,6.4,0
2023-04-18,27,Femme,Centrale,Premium,45.68,4,1,43,5.6,0
2023-04-19,55,Femme,Centrale,Standard,51.26,5,1,5,6.4,0
2023-04-19,61,Femme,Savanes,Standard,30.64,1,0,94,8.8,0
2023-04-19,67,Femme,Kara,Standard,47.39,3,1,169,4.7,1
2023-04-20,37,Femme,Maritime,Standard,8.28,0,0,8,6.5,0
2023-04-20,39,Femme,Plateaux,Standard,53.27,5,0,72,5.9,0
2023-04-20,26,Femme,Kara,Standard,33.58,2,1,73,4.7,0
2023-04-20,40,Homme,Maritime,Premium,36.94,2,1,147,5.0,0
2023-04-21,39,Femme,Plateaux,Standard,33.78,4,0,124,6.0,0
2023-04-21,59,Femme,Plateaux,Premium,54.42,4,0,2,5.9,0
2023-04-21,33,Femme,Centrale,Premium,50.7,4,1,169,4.8,0
2023-04-22,30,Homme,Maritime,Standard,24.99,0,0,115,4.5,0
2023-04-22,63,Femme,Maritime,VIP,46.54,2,0,179,5.1,0
2023-04-22,50,Homme,Centrale,Standard,48.17,4,1,2,5.9,0
2023-04-23,68,Femme,Kara,Premium,38.06,6,0,86,5.3,0
2023-04-23,63,Homme,Maritime,Standard,29.64,3,0,116,6.4,0
2023-04-23,19,Homme,Centrale,Standard,22.28,2,0,121,7.9,0
2023-04-23,56,Homme,Plateaux,Standard,31.74,3,0,62,7.4,0
2023-04-23,65,Homme,Maritime,Standard,38.95,3,0,49,8.5,0
2023-04-23,56,Femme,Maritime,Standard,26.63,3,0,60,7.1,0
2023-04-24,66,Femme,Plateaux,Standard,40.07,3,0,75,6.4,0
2023-04-24,20,Homme,Plateaux,VIP,61.54,3,1,136,5.4,0
2023-04-24,36,Homme,Plateaux,Premium,48.72,5,1,173,4.2,0
2023-04-25,19,Homme,Plateaux,Premium,22.55,2,1,106,5.8,0
2023-04-25,52,Homme,Plateaux,Standard,31.44,3,0,96,9.0,0
2023-04-25,62,Femme,Centrale,VIP,60.92,8,0,26,7.5,0
2023-04-26,68,Homme,Maritime,VIP,68.47,6,1,103,5.3,0
2023-04-26,57,Femme,Maritime,Standard,37.19,4,0,99,5.2,0
2023-04-27,38,Femme,Maritime,Standard,16.23,3,0,77,4.8,0
2023-04-28,36,Femme,Maritime,Standard,32.29,2,0,76,4.5,0
2023-04-28,68,Femme,Maritime,Premium,41.24,5,0,49,8.2,0
2023-04-28,42,Femme,Maritime,Standard,18.58,3,0,116,4.9,1
2023-04-28,34,Femme,Centrale,Standard,64.92,4,0,94,6.9,0
2023-04-28,65,Femme,Centrale,Premium,47.79,4,0,125,3.5,0
2023-04-29,41,Femme,Centrale,Standard,51.85,6,0,132,5.8,0
2023-04-29,35,Homme,Kara,Standard,17.9,3,0,117,8.4,0
2023-04-29,62,Homme,Maritime,Standard,47.43,4,1,99,5.4,0
2023-04-30,56,Homme,Plateaux,Standard,46.23,5,0,126,5.4,0
2023-04-30,62,Homme,Maritime,Premium,61.37,5,0,164,3.4,0
2023-05-01,44,Homme,Maritime,Standard,36.67,3,1,57,7.0,0
2023-05-01,33,Homme,Savanes,Standard,33.49,2,0,169,3.6,0
2023-05-01,23,Femme,Plateaux,Premium,45.12,3,0,87,4.8,1
2023-05-01,59,Homme,Maritime,Premium,24.86,2,0,160,6.1,1
2023-05-01,46,Homme,Kara,Premium,46.97,5,0,113,4.6,1
2023-05-01,46,Homme,Maritime,Standard,26.22,3,0,39,6.6,0
2023-05-01,29,Homme,Kara,VIP,27.25,2,2,52,6.5,1
2023-05-01,33,Homme,Maritime,Standard,32.2,4,2,165,4.0,1
2023-05-02,33,Femme,Centrale,Premium,50.83,3,0,36,7.1,0
2023-05-02,33,Homme,Centrale,Standard,24.1,3,0,25,4.8,0
2023-05-02,60,Homme,Plateaux,Standard,18.86,1,0,18,6.1,0
2023-05-02,61,Homme,Maritime,Premium,55.44,5,0,28,8.3,0
2023-05-03,29,Femme,Plateaux,Standard,55.78,3,0,82,6.5,0
2023-05-04,44,Femme,Maritime,Standard,11.8,0,0,12,5.4,0
