date,pluviometrie_mm,temperature_moy_c,demande_sang_simulee
2022-08-04,0.0,23.5,222
2022-08-05,0.2,23.4,213
2022-08-06,0.0,23.3,229
2022-08-07,0.0,23.5,252
2022-08-08,0.0,24.1,215
2022-08-09,0.0,24.2,207
2022-08-10,0.0,24.8,196
2022-08-11,0.0,24.7,190
2022-08-12,0.2,24.3,215
2022-08-13,0.0,24.4,189
2022-08-14,4.7,23.8,203
2022-08-15,0.5,23.7,195
2022-08-16,1.3,23.3,208
2022-08-17,0.3,23.1,205
2022-08-18,0.0,23.4,216
2022-08-19,5.1,23.7,192
2022-08-20,0.8,23.5,196
2022-08-21,0.3,23.5,185
2022-08-22,0.7,24.0,193
2022-08-23,3.5,23.9,205
2022-08-24,0.3,23.8,213
2022-08-25,0.0,23.8,188
2022-08-26,3.4,23.9,209
2022-08-27,4.7,23.9,216
2022-08-28,0.7,24.2,202
2022-08-29,0.1,24.4,226
2022-08-30,21.5,24.1,187
2022-08-31,2.1,24.3,179
2022-09-01,2.9,24.5,171
2022-09-02,1.5,24.7,221
2022-09-03,2.0,25.0,209
2022-09-04,4.7,25.0,198
2022-09-05,1.3,24.9,204
2022-09-06,4.7,24.9,185
2022-09-07,2.6,25.1,239
2022-09-08,1.8,25.2,204
2022-09-09,1.1,25.4,212
2022-09-10,0.8,25.3,223
2022-09-11,0.0,25.1,220
2022-09-12,7.8,24.6,217
2022-09-13,0.9,24.7,202
2022-09-14,0.3,25.0,221
2022-09-15,1.6,24.8,243
2022-09-16,1.5,25.2,236
2022-09-17,0.8,25.0,241
2022-09-18,12.1,25.3,210
2022-09-19,6.8,24.8,201
2022-09-20,1.3,25.0,214
2022-09-21,0.9,25.1,216
2022-09-22,9.1,24.6,235
2022-09-23,0.6,25.4,192
2022-09-24,6.4,25.4,240
2022-09-25,0.6,25.5,216
2022-09-26,23.2,25.0,211
2022-09-27,10.1,24.7,201
2022-09-28,4.5,24.6,195
2022-09-29,1.4,24.7,235
2022-09-30,3.8,25.0,216
2022-10-01,13.6,24.5,195
2022-10-02,3.5,24.9,197
2022-10-03,0.4,25.1,211
2022-10-04,0.5,25.5,243
2022-10-05,0.5,25.6,213
2022-10-06,2.8,25.6,203
2022-10-07,4.7,25.4,224
2022-10-08,0.7,25.6,224
2022-10-09,12.4,25.0,187
2022-10-10,8.2,25.0,228
2022-10-11,0.2,25.8,231
2022-10-12,2.8,25.4,246
2022-10-13,6.0,26.0,260
2022-10-14,1.3,25.6,249
2022-10-15,21.0,25.6,228
2022-10-16,0.6,25.8,216
2022-10-17,0.7,26.0,273
2022-10-18,1.0,26.4,235
2022-10-19,9.2,26.1,234
2022-10-20,0.7,26.2,234
2022-10-21,0.9,26.3,237
2022-10-22,0.7,26.3,233
2022-10-23,1.1,26.5,225
2022-10-24,1.1,26.7,226
2022-10-25,9.4,25.6,239
2022-10-26,0.3,26.3,232
2022-10-27,0.3,26.6,220
2022-10-28,1.0,26.8,229
2022-10-29,0.7,27.0,225
2022-10-30,0.2,26.9,252
2022-10-31,0.1,26.7,188
2022-11-01,1.9,27.0,239
2022-11-02,0.6,27.3,241
2022-11-03,1.9,27.3,191
2022-11-04,1.0,26.3,220
2022-11-05,0.0,26.7,220
2022-11-06,0.7,27.4,203
2022-11-07,1.3,27.0,211
2022-11-08,0.4,27.6,206
2022-11-09,2.1,27.4,245
2022-11-10,10.7,27.1,229
2022-11-11,4.4,26.5,235
2022-11-12,4.6,25.9,226
2022-11-13,0.8,26.8,196
2022-11-14,1.3,26.4,205
2022-11-15,2.4,26.6,212
2022-11-16,0.7,27.3,187
2022-11-17,1.4,27.1,216
2022-11-18,1.0,26.7,201
2022-11-19,6.1,26.1,197
2022-11-20,1.2,26.3,217
2022-11-21,0.5,27.1,214
2022-11-22,0.9,26.6,204
2022-11-23,0.6,26.4,226
2022-11-24,1.1,26.7,193
2022-11-25,0.9,27.3,216
2022-11-26,1.6,27.4,215
2022-11-27,2.1,27.3,202
2022-11-28,34.1,26.8,212
2022-11-29,2.3,26.3,190
2022-11-30,0.7,26.9,223
2022-12-01,2.5,26.7,207
2022-12-02,9.6,26.7,201
2022-12-03,0.5,26.7,225
2022-12-04,0.0,27.2,198
2022-12-05,0.2,27.3,188
2022-12-06,2.5,27.2,186
2022-12-07,0.5,27.0,219
2022-12-08,0.6,26.6,204
2022-12-09,0.5,26.7,250
2022-12-10,0.0,26.9,192
2022-12-11,0.0,27.2,245
2022-12-12,0.0,27.5,225
2022-12-13,0.9,27.4,219
2022-12-14,1.2,27.1,212
2022-12-15,0.8,27.4,226
2022-12-16,0.5,27.2,219
2022-12-17,2.3,27.1,236
2022-12-18,1.1,27.0,221
2022-12-19,0.0,26.9,221
2022-12-20,0.0,26.9,211
2022-12-21,0.0,27.0,215
2022-12-22,2.0,27.0,221
2022-12-23,0.0,26.2,190
2022-12-24,0.0,25.6,196
2022-12-25,0.0,25.2,227
2022-12-26,0.0,25.5,218
2022-12-27,0.0,26.0,213
2022-12-28,0.0,26.1,216
2022-12-29,0.0,25.9,208
2022-12-30,0.0,26.2,193
2022-12-31,0.0,26.2,190
2023-01-01,0.0,25.3,204
2023-01-02,0.0,25.7,183
2023-01-03,0.0,25.8,203
2023-01-04,0.0,26.2,172
2023-01-05,0.0,26.3,212
2023-01-06,0.0,26.8,203
2023-01-07,0.1,27.1,200
2023-01-08,0.4,27.5,210
2023-01-09,0.0,27.2,220
2023-01-10,0.0,27.1,211
2023-01-11,0.0,27.2,168
2023-01-12,0.0,27.0,176
2023-01-13,0.0,26.7,186
2023-01-14,0.0,26.8,195
2023-01-15,0.1,27.2,202
2023-01-16,0.1,27.1,183
2023-01-17,0.1,27.2,196
2023-01-18,0.3,27.4,182
2023-01-19,0.9,27.5,184
2023-01-20,0.3,27.8,172
2023-01-21,0.9,27.3,179
2023-01-22,1.2,27.4,172
2023-01-23,0.1,27.9,178
2023-01-24,1.5,27.8,208
2023-01-25,0.0,27.4,178
2023-01-26,3.1,27.8,232
2023-01-27,0.8,27.6,200
2023-01-28,1.3,27.5,195
2023-01-29,8.9,26.8,180
2023-01-30,0.1,27.1,203
2023-01-31,0.7,26.8,185
2023-02-01,0.0,26.5,196
2023-02-02,0.0,27.4,232
2023-02-03,0.3,27.4,193
2023-02-04,1.0,27.8,212
2023-02-05,1.2,27.8,185
2023-02-06,2.2,27.9,195
2023-02-07,0.7,27.5,223
2023-02-08,0.5,27.3,190
2023-02-09,1.3,27.1,227
2023-02-10,0.0,27.9,211
2023-02-11,0.0,28.0,192
2023-02-12,1.1,27.9,209
2023-02-13,0.1,28.1,215
2023-02-14,0.1,27.9,210
2023-02-15,0.1,28.1,177
2023-02-16,0.0,28.2,191
2023-02-17,0.0,27.9,198
2023-02-18,0.0,27.6,201
2023-02-19,0.0,27.1,212
2023-02-20,0.0,28.0,205
2023-02-21,0.0,28.0,182
2023-02-22,0.0,28.6,207
2023-02-23,0.0,28.7,211
2023-02-24,1.4,28.6,210
2023-02-25,1.9,28.2,217
2023-02-26,0.9,28.0,212
2023-02-27,0.0,28.4,207
2023-02-28,0.0,28.4,198
2023-03-01,0.1,28.5,171
2023-03-02,0.0,28.8,202
2023-03-03,1.5,28.4,198
2023-03-04,1.0,27.9,199
2023-03-05,0.0,28.5,176
2023-03-06,0.1,28.9,180
2023-03-07,9.1,27.9,212
2023-03-08,3.3,28.3,195
2023-03-09,0.5,28.6,205
2023-03-10,0.0,28.1,195
2023-03-11,2.0,28.5,195
2023-03-12,0.3,27.6,208
2023-03-13,0.0,28.3,187
2023-03-14,0.0,28.4,197
2023-03-15,0.5,28.6,188
2023-03-16,1.5,28.1,188
2023-03-17,0.3,28.4,194
2023-03-18,6.1,27.0,203
2023-03-19,0.0,27.4,193
2023-03-20,1.9,28.0,219
2023-03-21,5.6,27.9,187
2023-03-22,6.5,26.4,198
2023-03-23,6.5,27.2,194
2023-03-24,18.5,26.5,222
2023-03-25,0.0,28.0,204
2023-03-26,1.2,27.9,217
2023-03-27,3.9,27.1,179
2023-03-28,0.0,28.4,207
2023-03-29,0.2,28.7,216
2023-03-30,5.1,28.6,204
