identifiant,remboursement,taux_endete,cout_total,benefices
177,324.49,16.2,77877.6,37.25
178,480.08,25.7,86414.4,41.37
179,569.95,28.8,136788.0,68.62
180,266.58,18.5,63979.2,30.66
181,1023.8,15.9,307140.0,144.61
182,1505.16,37.0,361238.4,162.56
183,871.42,37.4,209140.8,99.08
184,986.7,23.2,236808.0,109.03
185,1015.45,26.8,243708.0,106.62
186,498.34,34.8,89701.2,43.77
187,748.67,26.7,134760.6,71.65
188,930.95,27.6,167571.0,82.25
189,461.76,30.2,138528.0,67.82
190,984.03,38.2,236167.2,101.26
191,485.62,30.6,116548.8,58.86
192,398.21,18.3,95570.4,53.2
193,1765.28,27.2,423667.2,195.42
194,716.94,23.3,215082.00000000003,99.3
195,826.56,33.49,130118.59999999999,69.55
196,270.66,15.6,64958.40000000001,32.34
197,394.77,28.9,94744.8,43.5
198,301.71,16.3,72410.4,35.99
199,488.48,17.2,58617.600000000006,28.01
200,869.58,27.2,156524.4,82.04
201,1301.44,25.1,312345.60000000003,119.6
202,638.72,18.6,153292.80000000002,73.52
203,930.13,25.2,279039.0,127.54
204,1425.06,37.7,256510.8,133.71
205,1567.76,55.3,282196.8,127.58
206,1769.87,46.6,424768.8,196.28
207,707.26,37.6,169742.4,89.82
208,962.77,37.8,231064.8,111.39
209,1054.77,33.4,253144.8,125.62
210,3104.23,53.1,558761.4,265.64
211,788.5,21.17,146885.0,79.01
212,1766.63,37.2,529989.0,237.83
213,1392.0,48.0,250560.0,108.68
214,744.13,15.1,89295.6,39.14
215,238.01,18.8,57122.4,27.18
216,759.11,28.7,182186.4,90.71
217,825.6,40.0,148608.0,66.07
218,1153.98,28.9,276955.2,124.75
219,1820.79,29.1,546237.0,249.22
220,896.0,35.0,268800.0,123.42
221,1356.53,30.3,325567.2,153.56
222,907.45,23.4,163341.0,78.2
223,672.13,31.6,161311.2,83.95
224,1486.99,29.049999999999997,380592.0,196.75
225,876.43,37.2,157757.4,77.04
226,2910.96,57.1,698630.4,331.85
227,434.38,18.5,130314.0,62.82
