date,temperature_c,precipitations_mm,cas_paludisme,nb_accidents,nb_accouchements,demande_sang
2021-04-04,28.4,2.2,18,5,16,70.6
2021-04-05,28.4,4.6,19,5,12,63.9
2021-04-06,27.6,4.9,20,5,6,67.0
2021-04-07,29.0,7.3,25,4,10,69.3
2021-04-08,29.0,8.8,21,3,16,65.1
2021-04-09,28.9,5.6,22,2,8,65.7
2021-04-10,28.7,5.4,19,4,12,64.2
2021-04-11,27.8,5.6,25,8,12,73.8
2021-04-12,28.6,5.8,21,7,14,74.8
2021-04-13,28.7,5.7,26,7,9,71.0
2021-04-14,28.4,7.2,20,7,11,76.0
2021-04-15,29.0,7.3,25,5,8,61.2
2021-04-16,29.5,17.0,23,4,10,69.2
2021-04-17,30.7,9.7,28,8,14,67.0
2021-04-18,29.3,8.9,31,3,16,67.2
2021-04-19,29.4,10.6,22,4,21,77.9
2021-04-20,29.2,8.9,27,2,10,63.6
2021-04-21,27.8,10.6,20,5,14,66.3
2021-04-22,29.3,12.2,22,3,13,79.4
2021-04-23,29.4,11.7,23,7,15,70.4
2021-04-24,31.4,11.6,25,2,16,74.3
2021-04-25,29.3,25.7,22,7,11,68.5
2021-04-26,29.7,17.2,21,3,13,67.5
2021-04-27,29.5,14.1,25,6,11,75.4
2021-04-28,28.6,14.1,26,1,10,72.7
2021-04-29,30.5,14.9,25,3,8,63.4
2021-04-30,30.2,13.0,24,4,11,68.5
2021-05-01,30.2,14.2,22,1,9,64.8
2021-05-02,28.9,13.2,23,5,10,67.9
2021-05-03,30.8,15.4,24,2,4,68.6
2021-05-04,28.6,16.2,27,3,13,73.8
2021-05-05,30.2,14.9,26,5,10,79.1
2021-05-06,31.5,24.5,27,4,12,73.0
2021-05-07,28.9,22.1,37,7,10,78.8
2021-05-08,29.3,19.1,33,2,9,67.7
2021-05-09,29.9,17.8,30,8,14,74.4
2021-05-10,29.4,22.0,31,0,13,73.3
2021-05-11,28.6,16.6,29,2,6,68.2
2021-05-12,29.9,21.2,34,1,13,75.3
2021-05-13,29.0,17.3,28,4,7,73.5
2021-05-14,30.2,21.9,29,2,23,79.2
2021-05-15,29.1,18.5,34,7,17,79.1
2021-05-16,31.1,24.1,41,6,19,75.7
2021-05-17,29.3,26.7,38,6,15,78.1
2021-05-18,29.7,18.9,33,3,17,79.8
2021-05-19,30.6,20.5,32,2,11,77.1
2021-05-20,29.0,30.8,37,3,16,69.5
2021-05-21,30.1,21.2,29,4,11,70.3
2021-05-22,31.0,25.5,33,7,16,76.4
2021-05-23,28.7,22.4,37,5,11,69.0
2021-05-24,30.1,21.4,34,3,9,68.7
2021-05-25,30.2,21.3,34,2,9,72.8
2021-05-26,30.6,21.2,35,5,17,85.7
2021-05-27,29.0,25.1,40,6,16,73.5
2021-05-28,28.9,22.5,41,5,14,79.0
2021-05-29,30.4,23.4,35,7,14,77.7
2021-05-30,30.2,23.5,34,6,8,73.9
2021-05-31,30.2,24.3,39,5,16,81.5
2021-06-01,30.3,27.9,31,5,17,85.1
2021-06-02,29.5,34.0,36,1,11,71.9
2021-06-03,30.2,23.9,35,1,10,76.1
2021-06-04,30.2,27.8,40,3,15,75.3
2021-06-05,29.4,27.0,40,5,9,72.7
2021-06-06,31.5,25.4,44,6,16,74.3
2021-06-07,30.4,32.4,46,2,12,80.7
2021-06-08,29.0,23.9,34,2,12,72.4
2021-06-09,30.5,23.7,39,2,13,76.7
2021-06-10,29.2,29.3,51,5,10,79.7
2021-06-11,30.6,25.4,40,8,16,86.4
2021-06-12,30.9,29.4,42,3,14,75.6
2021-06-13,29.3,30.6,39,4,15,70.7
2021-06-14,30.7,24.2,38,2,9,68.8
2021-06-15,30.2,30.6,35,1,14,73.3
2021-06-16,30.5,26.0,40,3,14,80.0
2021-06-17,31.4,26.5,46,3,9,83.9
2021-06-18,29.7,27.4,42,6,10,80.2
2021-06-19,29.2,32.4,43,7,12,81.7
2021-06-20,29.1,24.7,42,8,18,75.5
2021-06-21,29.2,26.6,43,2,11,83.6
2021-06-22,29.7,28.2,44,7,15,86.2
2021-06-23,30.0,28.7,49,7,14,84.8
2021-06-24,30.0,28.4,43,7,16,83.4
2021-06-25,30.4,25.3,43,4,19,78.2
2021-06-26,29.7,26.0,49,0,12,68.8
2021-06-27,30.9,26.3,43,4,13,82.7
2021-06-28,29.5,29.9,50,2,23,81.3
2021-06-29,31.8,26.0,43,1,9,69.3
2021-06-30,30.1,25.7,40,8,13,79.6
2021-07-01,28.9,34.5,47,4,11,74.5
2021-07-02,28.7,25.0,43,5,12,79.6
2021-07-03,29.9,43.4,44,8,12,83.6
2021-07-04,29.3,28.3,45,6,17,77.9
2021-07-05,30.1,30.2,40,10,9,76.8
2021-07-06,29.8,25.9,45,1,9,75.3
2021-07-07,29.4,24.9,46,1,15,77.8
2021-07-08,28.7,28.8,46,1,15,82.1
2021-07-09,28.1,30.1,44,2,12,74.9
2021-07-10,29.0,28.7,47,2,13,73.3
2021-07-11,30.0,25.0,40,6,14,76.3
2021-07-12,29.4,28.7,45,3,12,78.5
2021-07-13,28.2,28.8,45,8,10,80.9
2021-07-14,29.3,27.5,42,7,7,76.3
2021-07-15,29.5,28.6,49,3,12,72.2
2021-07-16,28.4,29.7,47,0,11,72.7
2021-07-17,29.2,26.8,42,5,3,72.8
2021-07-18,29.1,24.1,46,8,10,82.3
2021-07-19,28.1,25.7,45,4,16,79.9
2021-07-20,29.3,23.8,45,9,14,91.2
2021-07-21,29.4,25.0,43,5,12,79.6
2021-07-22,29.8,24.8,52,5,14,78.8
2021-07-23,29.7,23.3,46,7,8,74.0
2021-07-24,27.7,24.2,56,4,13,84.7
2021-07-25,28.0,23.1,44,9,11,78.5
2021-07-26,29.1,27.5,51,3,9,73.8
2021-07-27,29.1,31.2,42,6,14,72.7
2021-07-28,29.0,22.4,41,4,11,75.8
2021-07-29,31.7,31.3,44,6,9,81.1
2021-07-30,29.0,24.0,46,5,7,75.1
2021-07-31,29.4,22.6,45,9,15,78.5
2021-08-01,29.2,21.6,44,6,9,73.3
2021-08-02,28.9,23.2,48,6,13,88.3
2021-08-03,28.1,25.6,44,2,11,70.8
2021-08-04,28.9,24.3,46,3,5,72.0
2021-08-05,27.7,20.6,49,2,15,85.4
2021-08-06,28.0,20.4,49,4,8,80.5
2021-08-07,27.8,21.5,42,8,10,78.4
2021-08-08,28.2,20.7,41,5,10,71.4
2021-08-09,29.9,20.2,44,2,16,79.5
2021-08-10,26.5,20.1,44,3,11,75.4
2021-08-11,28.5,23.7,40,8,11,78.2
2021-08-12,26.6,26.5,41,7,11,76.6
2021-08-13,27.5,19.8,39,3,10,78.3
2021-08-14,28.7,25.0,45,8,15,81.6
2021-08-15,27.8,18.8,37,2,11,90.6
2021-08-16,26.9,19.3,43,4,10,93.4
2021-08-17,27.1,17.8,50,6,16,99.4
2021-08-18,28.2,19.8,40,3,11,84.3
2021-08-19,27.0,28.0,52,4,6,83.7
2021-08-20,27.7,18.8,42,3,20,84.6
2021-08-21,27.5,17.0,39,10,5,74.6
2021-08-22,26.9,18.5,39,10,12,79.0
2021-08-23,29.1,15.4,43,1,11,76.2
2021-08-24,27.8,21.3,41,6,11,75.5
2021-08-25,25.7,16.4,43,2,8,68.9
2021-08-26,27.4,15.8,41,1,14,80.4
2021-08-27,26.7,16.3,37,4,12,77.8
2021-08-28,27.8,16.2,38,6,12,73.7
2021-08-29,26.4,13.1,38,4,13,83.0
2021-08-30,26.9,16.0,36,4,8,67.6
2021-08-31,27.4,13.0,37,2,9,76.9
2021-09-01,27.6,15.5,38,4,11,76.3
2021-09-02,25.9,16.6,46,3,13,82.8
2021-09-03,26.6,15.9,39,2,12,75.9
2021-09-04,26.4,13.0,44,5,12,69.1
2021-09-05,26.2,12.4,37,7,9,74.9
2021-09-06,28.1,10.3,36,5,10,77.9
2021-09-07,26.9,13.9,36,7,10,70.0
2021-09-08,25.6,10.0,37,4,9,83.0
2021-09-09,27.2,10.7,47,5,11,82.3
2021-09-10,28.2,9.2,37,5,13,81.5
2021-09-11,27.2,8.3,36,7,9,69.6
2021-09-12,25.1,10.4,37,8,13,80.9
2021-09-13,25.9,7.2,31,1,9,74.3
2021-09-14,27.3,10.7,38,4,6,74.9
2021-09-15,25.6,7.3,34,3,12,74.9
2021-09-16,26.5,5.8,35,2,20,75.5
2021-09-17,26.7,7.5,41,3,13,77.2
2021-09-18,25.3,5.1,36,6,7,70.0
2021-09-19,26.0,5.5,35,5,15,77.6
2021-09-20,23.4,7.8,34,6,11,74.3
2021-09-21,25.1,3.8,30,1,15,75.5
2021-09-22,25.7,8.7,34,2,16,73.0
2021-09-23,24.8,2.8,31,2,10,70.7
2021-09-24,27.1,3.2,37,5,12,80.8
2021-09-25,24.6,6.0,33,5,11,69.5
2021-09-26,25.3,2.6,30,9,10,77.7
2021-09-27,25.7,1.4,31,6,12,79.6
2021-09-28,26.7,2.0,29,5,13,75.1
2021-09-29,24.4,1.2,31,4,13,80.4
2021-09-30,26.4,5.5,28,2,11,71.6
2021-10-01,25.5,1.1,32,6,6,78.5
2021-10-02,24.6,4.7,26,4,7,73.6
2021-10-03,25.7,6.7,26,7,9,70.0
2021-10-04,25.5,1.7,25,9,14,82.4
2021-10-05,24.8,7.2,31,3,13,72.2
2021-10-06,25.3,1.4,24,4,8,66.2
2021-10-07,24.9,10.0,21,6,9,71.4
2021-10-08,25.2,0.3,29,1,13,66.4
2021-10-09,25.6,3.5,27,6,10,67.1
2021-10-10,26.3,2.0,26,8,16,78.7
2021-10-11,24.0,1.5,30,5,7,71.0
2021-10-12,26.7,3.0,25,2,14,75.0
2021-10-13,23.4,3.7,28,3,15,76.1
2021-10-14,24.8,0.0,24,4,11,79.7
2021-10-15,25.4,0.5,24,6,10,76.0
2021-10-16,25.1,3.7,27,4,9,72.6
2021-10-17,24.3,3.3,23,6,10,71.1
2021-10-18,24.6,10.1,19,6,23,81.2
2021-10-19,24.3,4.3,20,1,9,71.1
2021-10-20,24.2,9.0,17,1,8,67.4
2021-10-21,25.4,3.6,25,4,15,75.9
2021-10-22,24.9,1.1,19,1,13,69.3
2021-10-23,24.1,0.3,28,5,14,74.8
2021-10-24,25.3,4.6,29,11,10,74.5
2021-10-25,24.8,3.1,21,1,18,69.4
2021-10-26,25.2,0.1,23,4,11,77.7
2021-10-27,25.0,1.3,19,4,6,75.1
2021-10-28,23.8,9.4,26,5,9,69.3
2021-10-29,24.0,2.1,19,3,11,66.9
2021-10-30,25.0,1.7,22,5,14,75.2
2021-10-31,24.9,1.8,22,11,13,78.8
2021-11-01,24.3,0.7,24,3,14,75.8
2021-11-02,24.4,1.4,24,4,15,78.4
2021-11-03,25.3,1.4,21,3,15,71.7
2021-11-04,23.8,0.2,20,1,13,70.3
2021-11-05,24.7,4.4,21,11,16,83.1
2021-11-06,24.1,1.6,21,7,14,69.1
2021-11-07,24.1,5.2,26,7,17,77.4
2021-11-08,25.1,5.7,32,4,13,81.5
2021-11-09,24.8,0.7,24,8,18,79.8
2021-11-10,24.8,3.2,27,5,9,74.1
2021-11-11,25.2,1.9,20,2,15,72.2
2021-11-12,24.2,6.4,22,7,14,75.8
2021-11-13,24.7,0.7,20,5,13,72.2
2021-11-14,23.9,3.4,25,11,8,72.1
2021-11-15,24.4,2.8,25,5,15,81.8
2021-11-16,24.0,1.0,18,2,10,70.2
2021-11-17,24.1,0.4,25,3,16,71.1
2021-11-18,24.5,3.2,25,2,11,77.6
2021-11-19,23.4,4.0,17,2,12,69.2
2021-11-20,25.7,1.1,23,6,15,70.0
2021-11-21,23.2,3.1,21,10,14,80.4
2021-11-22,23.1,1.5,22,4,10,73.3
2021-11-23,24.9,3.7,20,5,17,68.9
2021-11-24,24.6,0.7,21,4,14,71.3
2021-11-25,24.5,6.6,17,5,16,75.4
2021-11-26,24.5,1.0,24,3,10,62.4
2021-11-27,24.0,1.4,20,6,7,67.4
2021-11-28,23.3,0.2,23,9,16,77.5
2021-11-29,24.1,0.4,25,2,9,64.9
2021-11-30,23.5,2.2,19,4,24,79.9
2021-12-01,24.8,0.9,21,4,13,72.9
2021-12-02,23.9,5.4,21,4,10,66.3
2021-12-03,23.3,0.0,29,5,13,80.5
2021-12-04,23.8,1.4,21,5,10,71.6
2021-12-05,24.3,1.2,22,7,6,67.2
2021-12-06,23.6,0.1,22,3,10,69.6
2021-12-07,23.4,0.4,20,1,12,71.6
2021-12-08,24.2,1.6,19,3,15,71.6
2021-12-09,24.2,2.0,25,3,19,69.1
2021-12-10,23.6,1.6,27,3,12,75.3
2021-12-11,23.7,2.3,23,5,10,65.7
2021-12-12,24.3,2.7,21,11,10,73.3
2021-12-13,22.9,0.0,22,6,9,79.0
2021-12-14,23.0,1.9,24,5,15,75.8
2021-12-15,23.5,9.9,20,4,14,73.3
2021-12-16,23.9,2.2,27,3,13,76.1
2021-12-17,24.4,3.4,25,4,13,76.5
2021-12-18,25.3,1.1,22,5,14,67.4
2021-12-19,24.8,4.5,19,10,12,74.1
2021-12-20,24.1,4.4,21,6,7,71.8
2021-12-21,24.2,2.2,24,4,10,73.4
2021-12-22,23.4,11.2,20,3,7,69.2
2021-12-23,24.2,0.4,23,7,13,87.5
2021-12-24,24.0,0.1,19,4,8,64.7
2021-12-25,24.5,4.4,21,7,10,74.6
2021-12-26,23.6,4.9,19,6,17,77.8
2021-12-27,24.7,0.4,20,1,10,69.7
2021-12-28,25.6,0.9,18,4,9,67.1
2021-12-29,24.3,0.1,21,1,12,75.9
2021-12-30,24.7,1.0,22,3,10,61.9
2021-12-31,25.0,4.5,21,8,12,74.3
2022-01-01,24.1,2.2,23,6,17,79.2
2022-01-02,24.7,1.3,23,9,13,73.9
2022-01-03,24.5,1.4,21,7,11,81.7
2022-01-04,24.6,0.0,22,3,18,69.4
2022-01-05,23.9,1.1,31,3,10,69.4
2022-01-06,24.6,3.1,20,9,9,73.9
2022-01-07,25.0,11.0,23,3,19,78.1
2022-01-08,25.8,5.6,23,6,13,71.3
2022-01-09,25.5,0.1,21,11,11,73.8
2022-01-10,26.4,6.9,27,8,20,89.7
2022-01-11,24.1,4.6,21,5,7,76.9
2022-01-12,25.5,4.5,27,6,11,74.8
2022-01-13,25.0,1.8,20,9,11,70.4
2022-01-14,26.6,1.5,20,0,15,61.2
2022-01-15,24.3,1.1,23,1,10,65.9
2022-01-16,24.3,0.2,25,9,17,81.3
2022-01-17,24.5,0.8,23,3,10,71.4
2022-01-18,23.3,0.8,20,3,6,67.4
2022-01-19,24.6,2.0,18,3,12,67.4
2022-01-20,24.5,4.1,22,4,8,73.4
2022-01-21,25.3,1.9,23,2,25,85.8
2022-01-22,25.4,0.2,19,8,9,61.8
2022-01-23,26.7,9.5,19,6,13,70.6
2022-01-24,26.0,8.6,17,6,9,67.9
2022-01-25,24.8,4.6,24,3,11,66.2
2022-01-26,24.6,14.2,21,7,22,77.6
2022-01-27,25.8,2.4,21,2,11,71.6
2022-01-28,24.4,9.9,29,3,14,77.4
2022-01-29,26.9,0.2,23,9,10,79.7
2022-01-30,26.5,1.4,19,9,14,74.9
2022-01-31,25.2,0.8,27,5,12,69.1
2022-02-01,24.2,0.7,23,4,12,72.7
2022-02-02,26.7,0.5,21,2,14,66.4
2022-02-03,25.6,2.9,23,4,13,69.4
2022-02-04,26.7,4.6,19,6,13,77.4
2022-02-05,24.5,2.6,22,9,11,75.0
2022-02-06,25.4,0.5,17,3,7,65.8
2022-02-07,25.9,5.0,24,1,11,68.7
2022-02-08,26.0,3.0,19,6,10,76.4
2022-02-09,25.6,1.5,23,5,9,71.3
2022-02-10,26.5,3.4,23,1,16,77.3
2022-02-11,25.2,0.9,22,5,7,72.8
2022-02-12,26.0,1.3,21,6,11,69.8
2022-02-13,26.3,7.5,25,2,10,67.9
2022-02-14,26.6,1.0,28,6,17,80.6
2022-02-15,26.9,1.9,26,6,16,85.8
2022-02-16,25.4,6.6,34,3,13,78.1
2022-02-17,25.2,3.7,23,5,18,78.5
2022-02-18,27.5,0.2,31,6,10,76.6
2022-02-19,26.8,0.5,19,1,14,69.7
2022-02-20,25.9,0.0,19,9,12,76.7
2022-02-21,27.8,3.0,24,6,19,79.5
2022-02-22,26.7,1.8,20,8,15,74.3
2022-02-23,27.6,0.4,20,6,6,67.8
2022-02-24,26.8,9.5,23,2,8,68.5
2022-02-25,28.4,2.3,22,3,12,77.8
2022-02-26,28.2,0.8,26,5,10,69.8
2022-02-27,26.7,2.1,23,6,10,68.5
2022-02-28,27.7,3.4,26,1,17,67.6
2022-03-01,27.5,0.2,21,5,11,79.7
2022-03-02,28.1,1.0,21,2,15,75.1
2022-03-03,26.3,4.9,23,6,12,79.3
2022-03-04,27.7,1.8,21,2,7,71.9
2022-03-05,28.1,2.4,19,6,13,70.7
2022-03-06,25.9,1.7,29,5,21,78.9
2022-03-07,26.4,0.1,19,3,12,77.4
2022-03-08,25.7,0.5,17,3,13,72.1
2022-03-09,27.2,1.8,27,5,6,75.2
2022-03-10,28.0,0.7,24,1,17,77.5
2022-03-11,28.7,0.2,19,5,11,75.7
2022-03-12,27.6,5.6,20,9,11,73.3
2022-03-13,28.9,11.9,24,5,11,70.7
2022-03-14,26.6,4.7,23,5,16,80.6
2022-03-15,26.4,5.8,21,6,13,79.2
2022-03-16,27.7,0.8,18,2,11,74.2
2022-03-17,28.1,9.7,30,8,10,81.9
2022-03-18,27.8,0.7,19,7,8,75.9
2022-03-19,26.3,9.1,22,10,18,78.1
2022-03-20,27.9,15.8,23,9,13,73.9
2022-03-21,27.0,3.7,24,5,7,75.7
2022-03-22,28.6,11.9,20,5,8,69.5
2022-03-23,28.4,2.5,19,9,12,78.1
2022-03-24,27.4,0.9,23,2,11,76.8
2022-03-25,27.8,1.7,21,1,9,73.2
2022-03-26,27.4,2.7,22,6,15,75.0
2022-03-27,28.2,0.2,21,7,18,75.2
2022-03-28,29.1,2.9,19,3,12,71.2
2022-03-29,27.6,11.9,20,4,16,79.0
2022-03-30,28.8,0.6,22,1,16,72.8
2022-03-31,28.1,4.7,21,2,14,70.3
2022-04-01,27.9,7.6,22,2,9,74.7
2022-04-02,28.5,9.5,23,8,12,75.3
2022-04-03,27.8,11.0,28,7,16,75.4
2022-04-04,28.2,3.9,23,7,12,79.4
2022-04-05,27.7,13.5,24,0,15,75.9
2022-04-06,30.3,6.8,22,4,18,73.5
2022-04-07,28.8,3.5,27,4,15,76.7
2022-04-08,28.3,5.4,21,4,15,74.4
2022-04-09,29.0,7.7,28,6,10,74.8
2022-04-10,28.8,5.1,34,9,17,85.2
2022-04-11,28.8,7.8,23,1,14,70.0
2022-04-12,29.5,8.4,29,5,18,75.1
2022-04-13,29.6,6.1,27,2,18,81.2
2022-04-14,28.6,8.5,21,6,15,73.2
2022-04-15,28.6,10.8,21,6,12,76.9
2022-04-16,28.9,8.9,21,4,18,72.7
2022-04-17,27.3,7.2,22,8,19,79.3
2022-04-18,28.0,7.7,21,2,16,80.5
2022-04-19,30.3,9.4,32,5,13,91.4
2022-04-20,30.6,16.3,18,4,10,64.9
2022-04-21,29.1,9.6,23,4,15,80.1
2022-04-22,29.8,12.3,26,4,13,75.4
2022-04-23,29.6,10.4,28,7,6,76.1
2022-04-24,31.9,11.2,33,4,15,79.6
2022-04-25,30.3,16.1,24,2,15,80.0
2022-04-26,29.4,14.7,35,3,16,81.1
2022-04-27,28.7,11.5,26,3,16,73.3
2022-04-28,28.2,13.3,25,3,11,77.2
2022-04-29,29.7,12.1,28,5,17,80.8
2022-04-30,29.0,14.3,25,6,1,65.9
2022-05-01,28.5,16.0,24,4,10,67.7
2022-05-02,29.1,13.5,28,3,14,80.4
2022-05-03,28.8,14.5,27,1,19,83.2
2022-05-04,31.0,15.3,24,2,14,69.1
2022-05-05,30.4,21.7,29,4,11,78.5
2022-05-06,29.7,29.5,27,3,12,73.4
2022-05-07,30.9,15.0,27,9,7,68.6
2022-05-08,29.8,19.5,23,5,10,71.1
2022-05-09,29.1,16.9,30,1,14,71.6
2022-05-10,31.0,17.4,30,5,14,73.0
2022-05-11,30.3,20.4,32,4,17,77.6
2022-05-12,29.0,24.1,29,3,13,72.1
2022-05-13,29.7,25.9,32,3,11,73.5
2022-05-14,29.2,19.8,31,4,12,68.1
2022-05-15,28.8,18.8,32,5,22,79.3
2022-05-16,30.6,22.4,36,4,14,77.5
2022-05-17,31.4,19.0,34,5,16,83.5
2022-05-18,28.8,20.9,30,6,7,78.7
2022-05-19,30.4,20.0,32,3,10,76.6
2022-05-20,29.4,22.2,34,2,14,76.6
2022-05-21,29.6,20.1,35,6,12,76.1
2022-05-22,29.5,20.1,33,6,13,73.7
2022-05-23,29.3,27.3,32,4,17,77.6
2022-05-24,30.0,20.4,36,6,8,81.9
2022-05-25,29.3,22.4,34,4,6,68.0
2022-05-26,30.2,21.3,37,3,5,74.0
2022-05-27,30.0,20.9,45,6,10,82.2
2022-05-28,29.8,21.1,36,3,14,77.8
2022-05-29,29.3,21.8,36,5,10,69.5
2022-05-30,29.5,27.5,38,5,12,81.2
2022-05-31,30.6,22.7,32,2,13,77.7
2022-06-01,30.4,30.9,38,6,9,72.8
2022-06-02,29.2,24.7,40,7,8,77.4
2022-06-03,30.1,24.0,43,4,12,81.5
2022-06-04,30.6,25.1,38,6,8,77.9
2022-06-05,28.7,24.9,34,4,16,77.8
2022-06-06,30.4,27.1,42,6,12,86.0
2022-06-07,29.4,24.0,34,1,13,71.7
2022-06-08,30.4,24.5,38,3,13,73.3
2022-06-09,29.4,30.1,38,3,14,80.6
2022-06-10,28.5,32.3,39,4,11,75.0
2022-06-11,28.6,30.3,37,6,14,75.7
2022-06-12,30.0,25.4,38,6,12,82.1
2022-06-13,30.1,28.5,44,7,12,86.3
2022-06-14,29.2,26.0,37,6,10,78.6
2022-06-15,30.4,26.2,40,6,12,80.3
2022-06-16,28.6,24.9,41,8,11,87.5
2022-06-17,29.8,27.0,40,7,14,86.3
2022-06-18,28.9,25.1,40,9,14,78.8
2022-06-19,29.3,25.7,43,3,15,70.9
2022-06-20,29.9,30.4,45,6,13,93.0
2022-06-21,29.1,25.4,37,2,11,72.2
2022-06-22,29.5,25.0,47,11,8,90.8
2022-06-23,30.6,25.0,43,4,13,88.7
2022-06-24,29.3,33.3,40,2,11,78.8
2022-06-25,30.4,27.0,41,8,19,83.5
2022-06-26,28.8,26.5,42,6,8,71.8
2022-06-27,30.1,30.0,44,2,13,75.1
2022-06-28,30.8,30.4,43,2,11,80.8
2022-06-29,27.7,26.2,39,1,13,83.8
2022-06-30,29.0,28.5,48,3,15,83.0
2022-07-01,30.1,29.4,48,2,13,80.0
2022-07-02,29.4,28.2,45,3,10,79.3
2022-07-03,29.8,25.5,42,12,8,81.4
2022-07-04,29.0,31.2,43,5,15,86.1
2022-07-05,29.5,27.2,44,6,7,81.9
2022-07-06,29.3,25.9,47,2,8,77.3
2022-07-07,30.4,26.5,42,7,12,85.1
2022-07-08,29.6,24.9,45,3,8,86.4
2022-07-09,29.6,25.1,43,3,13,80.1
2022-07-10,29.0,29.0,43,11,16,92.7
