review_id,order_id,rating,comment_length
103,1084,4.0,81
104,376,4.0,104
105,786,4.0,70
106,145,4.0,47
107,1235,3.0,0
108,566,4.0,59
109,1175,4.0,46
110,391,4.0,69
111,742,3.0,65
112,1049,4.0,61
113,308,2.0,54
114,841,4.0,73
115,987,5.0,94
116,356,4.0,39
117,489,3.0,73
118,29,4.0,39
119,126,3.0,27
120,120,3.0,39
121,797,,7
122,583,,83
123,994,4.0,53
124,293,4.0,60
125,310,3.0,95
126,772,4.0,21
127,1099,4.0,96
128,18,4.0,21
129,562,4.0,92
130,899,4.0,70
131,130,4.0,34
132,537,4.0,86
133,954,4.0,96
134,704,3.0,95
135,294,4.0,98
136,1101,3.0,95
137,421,4.0,15
138,1026,5.0,29
139,720,3.0,75
140,963,4.0,74
141,745,4.0,71
142,577,5.0,59
143,400,4.0,93
144,403,3.0,93
145,79,4.0,65
146,104,5.0,124
147,1148,5.0,3
148,762,4.0,55
149,332,4.0,73
150,757,3.0,123
151,865,4.0,61
152,939,4.0,91
153,43,5.0,85
154,558,4.0,65
155,1104,3.0,3
156,63,5.0,47
157,1118,5.0,130
158,870,3.0,72
159,1130,5.0,30
160,379,4.0,51
161,1073,4.0,49
162,196,4.0,90
163,1132,3.0,80
164,902,4.0,80
165,188,4.0,30
166,411,4.0,32
167,424,3.0,105
168,776,3.0,82
169,176,4.0,37
170,926,4.0,95
171,1031,3.0,81
172,1197,4.0,32
173,1024,4.0,89
174,808,4.0,0
175,114,4.0,31
176,775,,45
177,599,3.0,47
178,807,5.0,0
179,110,4.0,24
180,67,4.0,25
181,785,4.0,60
182,128,3.0,9
183,1097,3.0,105
184,827,3.0,76
185,639,4.0,0
186,664,5.0,59
187,932,5.0,128
188,640,4.0,54
189,818,3.0,7
190,979,4.0,50
191,1166,3.0,54
192,7,5.0,97
193,36,4.0,53
194,711,3.0,141
195,429,3.0,15
196,659,4.0,66
197,159,4.0,112
198,923,5.0,29
199,1001,4.0,51
200,357,4.0,68
201,170,5.0,31
202,804,4.0,40
203,439,4.0,43
204,723,3.0,104
205,380,4.0,103
206,384,3.0,0
207,1037,3.0,54
208,949,5.0,102
209,346,4.0,121
210,645,4.0,65
211,168,3.0,87
212,216,4.0,29
213,177,4.0,69
214,819,4.0,32
215,838,5.0,75
216,109,4.0,31
217,848,3.0,7
218,222,5.0,5
219,784,4.0,51
220,97,4.0,42
221,183,4.0,96
222,824,4.0,60
223,869,3.0,0
224,840,5.0,21
225,1113,3.0,105
226,910,3.0,90
227,285,5.0,70
228,179,4.0,6
229,737,3.0,53
230,1003,4.0,57
231,1191,4.0,31
232,314,3.0,76
233,51,4.0,92
234,291,5.0,64
235,217,4.0,25
236,995,5.0,74
237,1159,4.0,96
238,925,3.0,83
239,588,4.0,123
240,1006,3.0,57
241,1069,5.0,44
242,1046,4.0,130
243,893,5.0,65
244,446,4.0,37
245,377,4.0,27
246,1005,4.0,67
247,351,4.0,79
248,45,4.0,13
249,953,4.0,70
250,338,4.0,50
251,143,,63
252,1225,4.0,90
253,1100,4.0,48
254,908,4.0,17
255,1223,4.0,79
256,1213,5.0,67
257,266,4.0,32
258,546,4.0,17
259,151,4.0,61
260,1119,4.0,73
261,850,4.0,84
262,1008,4.0,79
263,402,5.0,67
264,607,4.0,35
265,756,4.0,0
266,514,3.0,16
267,171,4.0,0
268,958,3.0,63
269,759,4.0,0
270,75,4.0,161
271,675,4.0,66
272,1180,,24
273,453,4.0,69
274,282,4.0,98
275,610,4.0,93
276,732,3.0,158
277,777,4.0,35
278,822,5.0,84
279,982,4.0,36
280,691,4.0,88
281,92,4.0,51
282,1067,4.0,49
283,1220,4.0,11
284,538,4.0,70
285,1065,5.0,57
286,42,4.0,3
287,574,4.0,48
288,660,5.0,150
289,586,5.0,25
290,606,3.0,51
291,1018,3.0,116
292,219,4.0,44
293,1080,4.0,109
294,1211,3.0,79
295,795,4.0,52
296,690,4.0,72
297,502,4.0,107
298,1062,4.0,36
299,755,4.0,28
300,372,4.0,51
301,1002,4.0,102
302,1151,5.0,49
303,359,4.0,51
304,1199,4.0,59
305,481,3.0,43
306,978,3.0,61
307,590,4.0,18
308,986,4.0,36
309,1131,4.0,137
310,306,5.0,79
311,370,4.0,76
312,148,4.0,78
313,249,3.0,57
314,780,3.0,4
315,90,5.0,92
316,258,3.0,2
317,857,3.0,27
318,516,,0
319,693,3.0,62
320,956,4.0,0
321,706,4.0,21
322,1061,4.0,47
323,1196,3.0,87
324,1105,5.0,48
325,141,4.0,130
326,1076,5.0,75
327,1149,4.0,99
328,465,5.0,39
329,815,5.0,53
330,1000,5.0,39
331,231,4.0,42
332,708,4.0,100
333,595,3.0,48
334,1167,4.0,41
335,1027,5.0,2
336,1045,5.0,34
337,416,4.0,123
338,743,4.0,4
339,38,4.0,62
340,422,4.0,98
341,578,5.0,118
342,803,4.0,99
343,831,3.0,65
344,882,3.0,0
345,536,4.0,58
346,387,4.0,0
347,572,3.0,56
348,449,3.0,62
349,271,4.0,46
350,749,4.0,110
351,434,4.0,13
352,545,4.0,79
353,1222,4.0,68
354,1083,4.0,54
355,868,3.0,0
356,1168,3.0,71
357,127,4.0,53
358,295,4.0,104
359,866,3.0,86
360,655,4.0,7
361,543,4.0,68
362,300,3.0,18
363,371,3.0,114
364,1186,5.0,88
365,700,5.0,6
366,836,4.0,138
367,1129,5.0,22
368,169,5.0,55
369,955,5.0,34
370,1019,4.0,37
371,552,4.0,56
372,1,5.0,92
373,890,4.0,58
374,124,3.0,60
375,1042,4.0,65
376,269,4.0,58
377,727,3.0,33
378,1012,2.0,82
379,898,4.0,21
380,1112,5.0,13
381,40,4.0,70
382,1109,4.0,105
383,1087,4.0,61
384,676,3.0,11
385,721,,123
386,1074,4.0,58
387,1134,4.0,87
388,533,5.0,29
389,352,4.0,71
390,504,3.0,19
391,1106,4.0,73
392,1143,4.0,64
393,753,4.0,63
394,107,5.0,49
395,587,4.0,55
396,1004,3.0,46
397,25,5.0,128
398,1060,5.0,68
399,619,3.0,20
400,138,4.0,66
401,672,4.0,42
402,622,5.0,99
403,859,4.0,69
404,570,5.0,74
405,631,4.0,0
406,462,3.0,0
407,20,3.0,59
408,833,4.0,25
409,520,4.0,77
410,765,4.0,1
411,1082,5.0,115
412,712,4.0,137
413,292,4.0,28
414,802,4.0,0
415,440,4.0,0
416,302,4.0,72
417,378,3.0,83
418,125,2.0,66
419,1133,4.0,62
420,1033,3.0,55
421,287,4.0,62
422,1160,5.0,127
423,106,5.0,34
424,1127,4.0,61
425,215,4.0,0
426,248,3.0,131
427,251,3.0,30
428,1059,4.0,79
429,501,4.0,47
430,1169,3.0,84
431,69,4.0,33
432,947,4.0,91
433,877,3.0,0
434,187,3.0,25
435,714,2.0,35
436,444,5.0,46
437,685,4.0,0
438,542,4.0,115
439,1183,5.0,40
440,623,3.0,75
441,404,4.0,45
442,701,3.0,63
443,393,4.0,125
444,64,4.0,33
445,163,4.0,8
446,227,4.0,51
447,54,4.0,97
448,1057,3.0,73
449,764,5.0,11
450,1215,5.0,31
451,832,5.0,91
452,567,4.0,70
453,108,4.0,18
454,224,3.0,0
455,1193,5.0,31
456,121,4.0,83
457,692,3.0,88
458,951,4.0,68
459,161,4.0,58
460,1121,4.0,102
461,211,3.0,11
462,279,3.0,101
463,360,4.0,136
464,1022,2.0,31
465,666,4.0,70
466,499,5.0,52
467,817,3.0,93
468,262,5.0,0
469,418,4.0,71
470,304,3.0,40
471,975,4.0,61
472,9,,13
473,1116,4.0,33
474,614,4.0,36
475,17,4.0,89
476,490,4.0,86
477,205,3.0,78
478,103,4.0,34
479,344,4.0,0
480,448,4.0,43
481,198,3.0,80
482,620,4.0,71
483,189,4.0,79
484,349,4.0,48
485,873,5.0,93
486,905,2.0,60
487,31,4.0,15
488,560,4.0,98
489,28,3.0,15
490,621,4.0,34
491,382,4.0,0
492,341,4.0,105
493,950,3.0,55
494,180,5.0,94
495,264,5.0,84
496,329,5.0,0
497,512,3.0,0
498,973,5.0,67
499,1137,4.0,29
500,1011,3.0,0
501,1142,5.0,56
502,1170,4.0,3
503,469,4.0,74
504,790,4.0,84
505,203,3.0,72
506,1217,5.0,82
507,750,4.0,55
508,699,4.0,81
509,278,4.0,21
510,681,5.0,0
511,1028,4.0,90
512,44,4.0,44
513,585,4.0,81
514,166,4.0,28
515,884,4.0,66
516,767,4.0,104
517,1041,4.0,41
518,915,4.0,137
519,483,3.0,49
520,14,4.0,73
521,710,3.0,77
522,628,4.0,28
523,855,4.0,0
524,245,4.0,14
525,2,3.0,42
526,805,3.0,93
527,193,5.0,0
528,59,3.0,69
529,119,4.0,38
530,299,4.0,115
531,477,4.0,48
532,846,4.0,45
533,688,4.0,12
534,80,3.0,45
535,771,4.0,90
536,1092,3.0,52
537,339,3.0,71
538,1224,3.0,96
539,182,4.0,82
540,678,5.0,0
541,113,4.0,120
542,433,4.0,101
543,568,5.0,39
544,539,,101
545,778,4.0,117
546,901,3.0,92
547,428,5.0,35
548,1000,2.0,75
549,168,,59
550,43,5.0,82
551,946,4.0,72
552,1212,5.0,58
553,777553,3.0,10
554,777554,,70
555,777555,5.0,92
556,777556,3.0,68
557,777557,2.0,88
