id_client,nom,age,type_contrat,date_contrat,region,prime,nb_sinistres,montant_sinistres
293,Client_293,49.0,moto,2024-06-20,,218.07,0,0.0
286,Client_286,37.0,auto,2020-11-23,Kara,,0,0.0
134,Client_134,25.0,auto,2021-11-13,Kara,273.42,0,0.0
215,Client_215,20.0,auto,2022-08-24,Plateaux,427.78,2,2617.09
276,Client_276,39.0,auto,2024-12-28,Centrale,318.76,0,0.0
250,Client_250,71.0,habitation,2021-08-12,Centrale,218.83,0,0.0
54,Client_54,42.0,habitation,2024-07-27,Savanes,130.18,1,1368.57
183,Client_183,53.0,habitation,2020-08-31,Maritime,224.6,0,0.0
231,Client_231,41.0,sante,2023-03-10,Kara,177.13,0,0.0
185,Client_185,49.0,sante,2024-06-13,Savanes,194.15,0,0.0
75,Client_75,19.0,auto,2023-12-05,Savanes,516.2,1,256.86
189,Client_189,45.0,habitation,2021-04-19,Kara,134.87,0,0.0
176,Client_176,54.0,habitation,2020-07-20,Maritime,159.19,0,0.0
127,Client_127,22.0,auto,2022-08-15,Kara,432.49,1,1345.89
67,Client_67,64.0,moto,2022-07-11,Plateaux,100.72,1,362.8
42,Client_42,72.0,HABITATION,2020-05-22,Maritime,122.83,0,0.0
12,Client_12,28.0,moto,2024-12-07,Plateaux,160.48,0,0.0
165,Client_165,43.0,habitation,2022-09-09,Maritime,76.77,0,0.0
99,Client_99,62.0,auto,2020-11-19,Plateaux,267.23,0,0.0
271,Client_271,41.0,habitation,2020-06-10,Kara,163.14,0,0.0
290,Client_290,20.0,habitation,2023-06-06,Maritime,260.85,3,2271.66
177,Client_177,40.0,moto,2023-12-30,Centrale,111.38,0,0.0
174,Client_174,21.0,habitation,2023-08-25,Kara,292.5,1,982.79
95,Client_95,74.0,habitation,2024-07-29,,99.96,1,487.38
162,Client_162,26.0,sante,2024-07-03,Savanes,168.78,0,0.0
218,Client_218,25.0,habitation,2023-10-16,Maritime,,1,800.25
92,Client_92,25.0,AUTO,2024-09-15,Kara,304.88,0,0.0
273,Client_273,69.0,auto,2020-03-27,Centrale,336.07,1,1457.56
107,Client_107,58.0,habitation,2023-08-08,Centrale,237.64,0,0.0
11,Client_11,28.0,auto,2023-10-04,Kara,321.1,1,373.09
154,Client_154,20.0,auto,2024-10-15,Centrale,473.89,1,1214.52
78,Client_78,59.0,auto,2023-07-01,Centrale,392.12,0,0.0
24,Client_24,47.0,moto,2023-12-04,Savanes,151.54,1,785.16
128,Client_128,59.0,moto,2023-05-18,Maritime,102.55,0,0.0
142,Client_142,54.0,AUTO,2020-05-06,Maritime,364.56,0,0.0
129,Client_129,56.0,habitation,2022-09-11,Kara,253.91,0,0.0
207,Client_207,50.0,auto,2020-10-11,Maritime,284.36,1,414.88
164,Client_164,32.0,auto,2023-04-20,Savanes,307.1,2,1446.05
204,Client_204,45.0,auto,2024-03-04,Plateaux,224.3,0,0.0
202,Client_202,28.0,habitation,2023-04-18,Maritime,184.49,0,0.0
55,Client_55,31.0,habitation,2021-08-01,Kara,75.81,0,0.0
5,Client_5,60.0,habitation,2024-04-19,Maritime,125.86,0,0.0
157,Client_157,43.0,auto,2024-11-27,Savanes,318.74,0,0.0
105,Client_105,42.0,habitation,2021-09-18,Savanes,147.32,0,0.0
194,Client_194,70.0,auto,2022-07-27,Centrale,270.3,0,0.0
171,Client_171,66.0,auto,2021-10-22,Savanes,292.76,0,0.0
216,Client_216,56.0,habitation,2022-04-28,Kara,169.67,0,0.0
85,Client_85,51.0,auto,2023-02-15,,332.19,0,0.0
25,Client_25,55.0,sante,2021-07-27,Maritime,96.63,1,495.05
284,Client_284,46.0,habitation,2021-03-18,Kara,104.14,0,0.0
115,Client_115,41.0,auto,2021-07-03,Centrale,216.8,1,1166.45
155,Client_155,18.0,auto,2022-02-17,Centrale,444.87,2,964.74
21,Client_21,19.0,auto,2022-04-30,Kara,435.8,0,0.0
29,Client_29,29.0,moto,2022-12-01,Maritime,184.79,1,337.4
132,Client_132,,auto,2024-06-27,Plateaux,389.15,1,604.21
173,Client_173,49.0,habitation,2022-08-26,Maritime,147.24,1,979.18
72,Client_72,67.0,auto,2023-01-25,Savanes,391.94,1,877.0
283,Client_283,33.0,sante,2022-01-28,Plateaux,125.62,0,0.0
228,Client_228,71.0,auto,2020-11-22,Savanes,345.07,0,0.0
110,Client_110,62.0,moto,2020-03-09,Kara,206.56,0,0.0
65,Client_65,61.0,sante,2021-04-22,Maritime,79.81,0,0.0
15,Client_15,53.0,sante,2020-09-26,Kara,131.66,0,0.0
131,Client_131,45.0,auto,2024-07-04,Plateaux,272.89,0,0.0
152,Client_152,64.0,habitation,2023-08-12,Savanes,123.62,0,0.0
19,Client_19,39.0,sante,2023-04-03,Kara,187.99,0,0.0
86,Client_86,27.0,auto,2022-03-16,Plateaux,337.21,0,0.0
214,Client_214,58.0,auto,2022-12-08,Maritime,271.84,1,272.98
156,Client_156,22.0,auto,2023-12-01,Savanes,429.95,2,758.34
26,Client_26,19.0,habitation,2020-05-11,Plateaux,295.14,4,5424.83
119,Client_119,41.0,auto,2022-03-25,Maritime,381.7,0,0.0
104,Client_104,43.0,auto,2020-04-04,Savanes,331.67,1,901.42
299,Client_299,56.0,auto,2023-01-16,Kara,286.58,0,0.0
205,Client_205,42.0,moto,2023-03-30,Kara,138.68,0,0.0
195,Client_195,23.0,habitation,2022-08-12,Centrale,262.87,1,425.52
225,Client_225,61.0,habitation,2024-09-20,Centrale,124.84,0,0.0
70,Client_70,,habitation,2021-07-03,Savanes,159.31,0,0.0
172,Client_172,69.0,moto,2023-12-25,Centrale,79.53,0,0.0
121,Client_121,68.0,habitation,2020-10-28,Kara,155.81,0,0.0
45,Client_45,20.0,habitation,2020-05-24,Kara,264.05,0,0.0
114,Client_114,26.0,auto,2022-05-21,Centrale,340.53,1,1185.64
7,Client_7,38.0,auto,2023-08-12,Centrale,354.53,0,0.0
153,Client_153,31.0,auto,2023-08-13,Kara,280.94,0,0.0
13,Client_13,41.0,moto,2022-05-22,Plateaux,90.05,2,2112.6
94,Client_94,40.0,auto,2023-03-26,Centrale,304.63,0,0.0
102,Client_102,70.0,auto,2020-05-09,Maritime,261.45,0,0.0
184,Client_184,30.0,auto,2021-06-20,Centrale,332.82,1,876.39
277,Client_277,28.0,auto,2023-04-16,Centrale,275.18,0,0.0
6,Client_6,25.0,habitation,2021-05-27,Savanes,139.72,0,0.0
145,Client_145,57.0,moto,2021-08-26,Plateaux,111.86,0,0.0
3,Client_3,46.0,habitation,2023-03-06,Maritime,138.97,1,1324.06
80,Client_80,71.0,moto,2021-08-20,Savanes,126.22,0,0.0
68,Client_68,52.0,auto,2021-02-23,Maritime,305.81,0,0.0
279,Client_279,33.0,auto,2023-10-04,Kara,306.51,0,0.0
116,Client_116,18.0,habitation,2023-03-03,Kara,248.63,1,995.52
167,Client_167,30.0,AUTO,2022-10-21,Kara,389.43,2,2280.85
182,Client_182,46.0,habitation,2021-07-28,Maritime,151.44,0,0.0
118,Client_118,25.0,sante,2020-01-23,Maritime,162.71,1,397.04
291,Client_291,36.0,auto,2021-08-01,Maritime,314.08,1,383.25
269,Client_269,34.0,habitation,2022-02-16,Plateaux,228.51,0,0.0
287,Client_287,53.0,auto,2022-12-13,Plateaux,281.16,1,996.77
181,Client_181,60.0,sante,2022-07-25,Plateaux,186.3,0,0.0
223,Client_223,68.0,auto,2021-04-20,Maritime,344.15,0,0.0
91,Client_91,32.0,habitation,2022-08-05,Kara,138.67,0,0.0
260,Client_260,43.0,sante,2024-08-28,Plateaux,210.04,2,2693.55
10,Client_10,,habitation,2024-05-14,Plateaux,184.8,0,0.0
38,Client_38,32.0,habitation,2024-07-18,Savanes,202.48,1,246.24
186,Client_186,24.0,sante,2020-03-15,Plateaux,305.3,1,359.09
46,Client_46,54.0,habitation,2023-06-02,Centrale,113.61,0,0.0
175,Client_175,47.0,habitation,2023-03-06,Maritime,155.01,0,0.0
281,Client_281,26.0,habitation,2022-04-12,Savanes,149.44,2,2949.34
124,Client_124,52.0,auto,2020-08-05,Savanes,292.15,0,0.0
191,Client_191,59.0,auto,2020-12-12,Kara,289.35,0,0.0
49,Client_49,38.0,moto,2022-03-31,Maritime,146.05,1,1279.69
43,Client_43,,auto,2022-09-19,Kara,372.44,0,0.0
251,Client_251,40.0,habitation,2023-10-26,Plateaux,250.62,0,0.0
58,Client_58,43.0,habitation,2021-07-07,Centrale,141.1,1,1067.56
146,Client_146,39.0,habitation,2024-12-27,Maritime,139.0,1,1081.89
123,Client_123,25.0,auto,2021-01-30,Maritime,340.41,1,409.1
289,Client_289,43.0,auto,2023-06-16,Savanes,325.28,0,0.0
106,Client_106,62.0,auto,2022-01-24,Kara,273.45,0,0.0
275,Client_275,23.0,auto,2024-02-08,Savanes,460.32,2,457.29
262,Client_262,23.0,habitation,2022-04-10,Kara,236.81,0,0.0
190,Client_190,19.0,auto,2021-02-21,Savanes,471.87,2,562.61
210,Client_210,44.0,auto,2021-10-23,,286.8,2,1924.85
2,Client_2,69.0,habitation,2024-01-22,Kara,166.81,0,0.0
140,Client_140,40.0,moto,2023-03-02,Centrale,131.91,0,0.0
112,Client_112,,sante,2020-01-11,Kara,259.68,2,1290.2
280,Client_280,50.0,habitation,2022-10-28,Kara,113.53,0,0.0
245,Client_245,34.0,moto,2023-03-13,Savanes,187.69,0,0.0
108,Client_108,46.0,auto,2022-03-04,Centrale,313.6,3,958.3
9,Client_9,36.0,moto,2022-07-06,Centrale,163.21,1,710.11
232,Client_232,58.0,auto,2022-09-16,Centrale,298.08,0,0.0
285,Client_285,,habitation,2024-11-25,Savanes,302.5,1,1229.21
192,Client_192,62.0,auto,2024-04-01,Centrale,289.25,0,0.0
22,Client_22,41.0,sante,2023-11-03,Plateaux,160.3,0,0.0
282,Client_282,,sante,2020-11-08,Kara,284.67,1,495.63
217,Client_217,23.0,sante,2023-01-12,Centrale,319.62,0,0.0
221,Client_221,54.0,habitation,2024-07-11,Plateaux,126.54,0,0.0
120,Client_120,28.0,moto,2020-12-11,Plateaux,169.41,0,0.0
33,Client_33,66.0,habitation,2023-08-11,Savanes,109.97,0,0.0
297,Client_297,50.0,moto,2023-12-12,Plateaux,200.61,0,0.0
200,Client_200,,auto,2021-10-25,Centrale,293.9,1,1488.46
79,Client_79,21.0,sante,2020-07-14,Maritime,339.43,2,1377.58
263,Client_263,49.0,auto,2024-07-25,Plateaux,277.04,1,1224.03
47,Client_47,68.0,auto,2022-10-03,Savanes,263.74,0,0.0
109,Client_109,32.0,auto,2023-07-30,Plateaux,249.04,0,0.0
252,Client_252,54.0,moto,2023-04-13,Maritime,83.74,2,1299.39
268,Client_268,73.0,moto,2022-03-10,Maritime,228.61,1,1142.7
240,Client_240,20.0,habitation,2020-10-11,Plateaux,309.73,2,1116.59
83,Client_83,43.0,habitation,2024-07-16,Centrale,177.66,2,1111.86
235,Client_235,66.0,habitation,2022-08-09,Savanes,183.36,2,434.85
136,Client_136,51.0,auto,2022-09-30,Kara,306.74,1,1094.25
272,Client_272,22.0,habitation,2023-11-04,Savanes,,0,0.0
111,Client_111,,sante,2024-08-10,Kara,265.77,3,1187.64
296,Client_296,58.0,auto,2023-07-11,Savanes,334.45,0,0.0
278,Client_278,65.0,auto,2023-11-15,Maritime,317.47,0,0.0
37,Client_37,33.0,auto,2024-09-10,Centrale,304.83,0,0.0
93,Client_93,31.0,auto,2020-01-15,Kara,287.59,1,907.22
187,Client_187,68.0,habitation,2021-01-20,Kara,156.29,0,0.0
295,Client_295,69.0,auto,2022-10-03,Maritime,238.65,0,0.0
63,Client_63,64.0,habitation,2024-08-19,Maritime,144.89,0,0.0
1,Client_1,56.0,sante,2021-01-10,Maritime,199.99,0,0.0
28,Client_28,50.0,auto,2024-11-07,Maritime,188.64,0,0.0
101,Client_101,64.0,auto,2024-09-04,Centrale,292.16,1,616.08
178,Client_178,56.0,moto,2020-11-08,Savanes,115.86,0,0.0
188,Client_188,39.0,sante,2023-05-18,Plateaux,219.25,1,506.61
227,Client_227,32.0,auto,2021-07-14,Maritime,282.03,0,0.0
149,Client_149,18.0,auto,2020-02-20,Centrale,483.26,3,2434.24
64,Client_64,24.0,auto,2023-08-05,Centrale,472.21,1,821.73
40,Client_40,68.0,auto,2022-11-12,Centrale,354.37,0,0.0
257,Client_257,19.0,auto,2023-02-10,Kara,,0,0.0
206,Client_206,56.0,auto,2020-06-25,Maritime,264.72,0,0.0
159,Client_159,31.0,moto,2024-06-24,Plateaux,100.03,1,431.88
144,Client_144,61.0,auto,2022-10-05,Plateaux,290.01,0,0.0
18,Client_18,20.0,habitation,2021-12-25,Kara,273.2,1,1409.41
60,Client_60,19.0,sante,2024-03-03,Savanes,295.02,2,1064.08
166,Client_166,59.0,habitation,2022-04-04,Plateaux,276.69,0,0.0
224,Client_224,59.0,habitation,2022-12-22,Plateaux,219.02,0,0.0
246,Client_246,66.0,moto,2023-12-18,Plateaux,184.4,0,0.0
238,Client_238,56.0,auto,2020-02-01,Savanes,,0,0.0
209,Client_209,74.0,habitation,2022-09-29,Plateaux,148.14,0,0.0
226,Client_226,41.0,auto,2023-10-15,Kara,293.26,0,0.0
150,Client_150,52.0,habitation,2022-11-18,Savanes,158.3,0,0.0
124,Client_124,52.0,auto,2020-08-05,Savanes,292.15,0,0.0
56,Client_56,67.0,sante,2021-01-25,Maritime,110.42,0,0.0
17,Client_17,41.0,auto,2023-08-07,Plateaux,347.41,1,563.18
220,Client_220,26.0,habitation,2020-05-27,,223.87,1,765.73
229,Client_229,49.0,auto,2024-11-27,Plateaux,277.29,0,0.0
201,Client_201,47.0,auto,2020-01-25,Centrale,267.57,0,0.0
203,Client_203,72.0,habitation,2021-12-10,,176.1,0,0.0
274,Client_274,51.0,habitation,2020-02-24,Plateaux,200.99,0,0.0
258,Client_258,70.0,auto,2020-04-23,Centrale,289.73,1,912.82
151,Client_151,54.0,auto,2024-01-25,Kara,294.03,1,362.13
88,Client_88,31.0,sante,2022-03-25,Maritime,150.45,0,0.0
270,Client_270,55.0,auto,2024-01-21,Maritime,284.6,0,0.0
213,Client_213,30.0,habitation,2024-02-01,Plateaux,,0,0.0
147,Client_147,,habitation,2023-11-02,Centrale,172.52,1,1183.14
98,Client_98,33.0,habitation,2020-02-16,Maritime,135.54,0,0.0
265,Client_265,21.0,sante,2022-07-13,Plateaux,246.94,1,842.83
126,Client_126,50.0,auto,2024-06-27,Plateaux,205.14,2,2328.45
244,Client_244,73.0,AUTO,2020-10-12,Centrale,253.15,1,757.55
62,Client_62,45.0,moto,2024-07-04,Kara,210.04,2,580.06
82,Client_82,35.0,auto,2021-05-31,Maritime,377.83,0,0.0
107,Client_107,58.0,habitation,2023-08-08,Centrale,237.64,0,0.0
69,Client_69,31.0,habitation,2020-06-05,Savanes,159.44,1,348.14
130,Client_130,58.0,auto,2022-09-19,Maritime,273.99,0,0.0
211,Client_211,74.0,habitation,2021-10-27,Maritime,135.95,0,0.0
57,Client_57,26.0,auto,2023-04-17,Centrale,305.89,0,0.0
20,Client_20,70.0,sante,2020-01-05,Plateaux,135.56,0,0.0
199,Client_199,61.0,habitation,2023-04-20,Kara,159.19,0,0.0
87,Client_87,53.0,auto,2023-03-28,Maritime,301.59,0,0.0
71,Client_71,53.0,moto,2024-01-04,Centrale,130.8,0,0.0
230,Client_230,49.0,moto,2024-10-25,Kara,179.25,0,0.0
247,Client_247,19.0,moto,2022-11-08,Kara,314.15,0,0.0
138,Client_138,65.0,habitation,2022-10-04,Centrale,144.61,0,0.0
61,Client_61,37.0,auto,2022-11-04,Maritime,329.92,0,0.0
35,Client_35,59.0,moto,2024-03-29,Savanes,194.12,0,0.0
41,Client_41,61.0,habitation,2021-07-28,Savanes,144.05,0,0.0
139,Client_139,72.0,auto,2023-09-09,Centrale,331.45,0,0.0
77,Client_77,71.0,auto,2020-10-15,Kara,262.21,0,0.0
267,Client_267,28.0,auto,2024-07-24,Plateaux,241.86,0,0.0
243,Client_243,66.0,sante,2024-02-09,Centrale,105.34,0,0.0
27,Client_27,38.0,habitation,2021-08-23,Centrale,241.14,0,0.0
44,Client_44,74.0,habitation,2021-10-26,Kara,149.17,0,0.0
97,Client_97,38.0,auto,2023-03-26,Plateaux,270.68,1,1172.65
84,Client_84,61.0,auto,2022-05-14,Savanes,351.45,0,0.0
253,Client_253,49.0,habitation,2022-10-06,Centrale,133.24,2,1219.49
186,Client_186,24.0,sante,2020-03-15,Plateaux,305.3,1,359.09
74,Client_74,21.0,auto,2022-09-23,Savanes,396.83,0,0.0
249,Client_249,45.0,habitation,2022-02-07,Plateaux,170.1,0,0.0
248,Client_248,19.0,auto,2020-01-18,Plateaux,438.48,4,5236.07
234,Client_234,66.0,habitation,2021-03-10,Savanes,154.31,1,813.68
137,Client_137,50.0,auto,2020-12-21,Savanes,299.65,1,687.84
50,Client_50,26.0,habitation,2024-06-27,Maritime,241.92,0,0.0
208,Client_208,18.0,moto,2020-03-03,Kara,,1,1110.33
292,Client_292,37.0,sante,2022-12-10,Maritime,155.31,1,1063.44
133,Client_133,26.0,habitation,2022-04-07,Savanes,139.35,1,1165.05
51,Client_51,56.0,moto,2020-04-13,Kara,197.45,0,0.0
239,Client_239,19.0,habitation,2021-10-31,Savanes,317.23,1,558.44
53,Client_53,21.0,auto,2020-07-16,Centrale,506.16,2,1738.11
81,Client_81,46.0,auto,2024-03-25,Maritime,308.7,1,705.25
32,Client_32,42.0,auto,2020-10-22,Plateaux,281.22,1,262.18
122,Client_122,34.0,sante,2020-12-28,Centrale,218.54,0,0.0
212,Client_212,69.0,habitation,2020-06-04,Savanes,194.3,0,0.0
197,Client_197,45.0,habitation,2022-02-01,Savanes,191.61,2,1690.03
89,Client_89,48.0,auto,2020-08-15,Kara,310.68,0,0.0
256,Client_256,36.0,sante,2022-09-14,Centrale,50.75,0,0.0
59,Client_59,70.0,habitation,2024-01-11,Maritime,182.98,0,0.0
34,Client_34,44.0,auto,2021-09-07,Plateaux,374.16,1,1170.07
39,Client_39,64.0,auto,2021-02-25,Kara,299.67,1,861.15
52,Client_52,35.0,auto,2022-11-28,Maritime,,0,0.0
261,Client_261,49.0,auto,2022-08-04,Savanes,314.62,1,711.48
103,Client_103,41.0,sante,2023-12-05,Maritime,176.28,2,1100.26
196,Client_196,45.0,auto,2022-05-25,Plateaux,323.77,0,0.0
168,Client_168,68.0,moto,2021-07-20,Kara,123.36,1,335.38
117,Client_117,61.0,auto,2021-12-12,Plateaux,353.35,0,0.0
125,Client_125,52.0,habitation,2020-05-20,Savanes,106.24,0,0.0
219,Client_219,44.0,auto,2021-11-19,Savanes,290.64,2,1650.36
288,Client_288,36.0,habitation,2022-01-30,Maritime,193.0,0,0.0
48,Client_48,24.0,habitation,2021-05-17,Savanes,333.78,1,914.5
214,Client_214,58.0,auto,2022-12-08,Maritime,271.84,1,272.98
190,Client_190,19.0,auto,2021-02-21,Savanes,471.87,2,562.61
96,Client_96,57.0,auto,2023-07-08,Kara,404.24,0,0.0
163,Client_163,32.0,sante,2021-02-23,Maritime,82.04,0,0.0
264,Client_264,72.0,habitation,2023-07-11,Centrale,131.42,0,0.0
76,Client_76,23.0,habitation,2022-08-08,Kara,271.83,0,0.0
300,Client_300,35.0,habitation,2023-01-06,Savanes,246.54,0,0.0
23,Client_23,61.0,sante,2020-03-18,Plateaux,161.38,0,0.0
73,Client_73,57.0,auto,2022-10-17,Savanes,249.28,0,0.0
16,Client_16,57.0,auto,2022-03-08,Plateaux,343.54,0,0.0
169,Client_169,,sante,2021-01-05,Maritime,60.17,0,0.0
