identifiant,ville,CP,revenu,remboursement,duree,type,taux_interet,taux_endete,cout_total,benefices,risque
156,BORDEAUX,33200,2564.0,1151.24,240,immobilier,1.191,44.9,276297.6,137.11,OUI
162,MARSEILLE,13014,1378.0,497.46,240,immobilier,1.09,36.1,119390.4,54.22,OUI
167,MARSEILLE,13014,2856.0,1011.02,240,immobilier,1.153,35.4,242644.8,116.57,OUI
168,PARIS,75003,6366.0,2807.41,240,immobilier,1.176,44.1,673778.3999999999,330.15,OUI
170,PARIS,75019,2384.0,1311.2,240,immobilier,1.051,55.0,314688.0,137.81,OUI
172,MARSEILLE,13009,2799.0,1072.02,240,immobilier,1.171,38.3,257284.8,125.53,OUI
173,PARIS,75006,6784.0,3744.77,180,immobilier,1.248,55.2,674058.6,350.51,OUI
174,MARSEILLE,13009,1533.0,850.82,180,immobilier,1.048,55.5,153147.6,66.87,OUI
182,PARIS,75019,4068.0,1505.16,240,immobilier,1.08,37.0,361238.4,162.56,OUI
183,PARIS,75001,2330.0,871.42,240,immobilier,1.137,37.4,209140.8,99.08,OUI
190,PARIS,75005,2576.0,984.03,240,immobilier,1.029,38.2,236167.2,101.26,OUI
204,TOULOUSE,31100,3780.0,1425.06,180,immobilier,1.251,37.7,256510.8,133.71,OUI
205,BORDEAUX,33100,2835.0,1567.76,180,immobilier,1.085,55.3,282196.8,127.58,OUI
206,LYON,69005,3798.0,1769.87,240,immobilier,1.109,46.6,424768.8,196.28,OUI
207,LYON,69001,1881.0,707.26,240,immobilier,1.27,37.6,169742.4,89.82,OUI
208,MARSEILLE,13011,2547.0,962.77,240,immobilier,1.157,37.8,231064.8,111.39,OUI
210,PARIS,75016,5846.0,3104.23,180,immobilier,1.141,53.1,558761.4,265.64,OUI
212,PARIS,75008,4749.0,1766.63,300,immobilier,1.077,37.2,529989.0,237.83,OUI
213,NICE,6300,2900.0,1392.0,180,immobilier,1.041,48.0,250560.0,108.68,OUI
217,PARIS,75001,2064.0,825.6,180,immobilier,1.067,40.0,148608.0,66.07,OUI
225,BORDEAUX,33100,2356.0,876.43,180,immobilier,1.172,37.2,157757.4,77.04,OUI
226,PARIS,75002,5098.0,2910.96,240,immobilier,1.14,57.1,698630.4,331.85,OUI
